;2010;2011;2012;2013;2014;2015;2016;2017;2018
Mines;100.0;105.2;101.8;99.9;103.2;99.5;101.9;122.4;127.7
Minerais Métalliques;100.0;100.4;100.2;102.0;102.9;104.4;105.6;106.7;108.4
Produits divers des industries extractives;100.0;105.4;101.9;99.8;103.2;99.3;101.7;123.2;128.7
