;2016T1;2016T2;2016T3;2016T4;2017T1;2017T2;2017T3;2017T4;2018T1;2018T2;2018T3;2018T4;2019T1;2019T2;2019T3;2019T4;2020T1;2020T2;2020T3;2020T4;2021T1;2021T2;2021T3;2021T4;2022T1;2022T2;2022T3;2022T4;2023T1;2023T2;2023T3;2023T4;2024T1;2024T2;2024T3;2024T4;2025T1;2025T2;2025T3;2025T4;2026T1
Industries extractives;91.4;101.7;106.6;109.8;97.4;135.5;127.8;131.6;116.7;133.2;131.4;132.2;124.7;131.6;135.0;137.0;124.2;141.6;140.1;149.0;132.0;139.8;148.2;146.2;118.7;118.0;120.1;104.0;90.0;96.0;112.8;137.6;115.7;123.8;138.1;150.2;128.2;144.6;148.3;143.6;125.8
    Extraction de minerais métalliques;101.5;95.1;97.5;110.3;104.2;96.0;100.0;109.0;105.8;97.6;101.5;111.0;108.2;96.0;103.4;112.2;99.9;88.1;96.8;107.2;103.5;87.9;102.6;108.2;104.7;87.9;104.6;117.1;103.3;89.2;105.1;117.3;103.5;89.7;105.3;117.5;103.7;89.8;108.7;118.3;104.4
    Autres industries extractives;90.9;102.0;107.0;109.8;97.1;137.5;129.2;132.8;117.2;135.0;132.9;133.2;125.6;133.4;136.6;138.4;125.4;144.4;142.3;151.2;133.5;142.5;150.5;148.1;119.4;119.5;120.9;103.3;89.3;96.3;113.2;138.7;116.3;125.6;139.8;151.9;129.5;147.4;150.3;144.9;126.9
