;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Produits divers des industries extractives  ;100.0;97.3;97.8;110.1;116.0;112.4;123.2;131.6;143.0;149.3;147.2;126.5;148.0;154.3;143.1
Phosphates;100.0;96.5;93.4;95.8;100.4;99.6;110.5;118.7;119.3;122.0;111.4;79.7;116.1;122.2;
Pierres pour la construction et l'industrie;100.0;98.6;99.6;103.4;95.0;81.1;100.4;89.0;82.6;64.5;61.7;60.0;58.2;55.4;
Sables et argiles;100.0;112.7;125.4;148.3;159.1;172.6;172.5;185.7;244.8;249.4;272.8;251.0;228.6;238.0;
Minéraux divers ;100.0;88.4;90.8;126.1;133.9;110.6;128.2;135.8;147.3;167.3;169.8;184.2;194.4;200.2;
Minerais  métalliques;100.0;100.8;96.4;86.0;79.1;58.3;54.9;56.7;59.5;56.4;55.3;57.1;53.5;53.1;52.7
Minerai de fer;100.0;138.3;99.3;56.4;34.7;85.9;71.5;55.9;64.0;59.7;56.6;57.7;61.3;62.5;
Autres minerais métalliques;100.0;100.7;96.4;86.1;79.3;58.3;54.9;56.8;59.5;56.4;55.3;57.1;53.5;53.0;
Mines;100.0;97.6;97.6;107.6;112.2;106.9;116.3;124.1;134.6;140.0;138.0;119.5;138.4;144.1;153.3
