,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,29.0,59.0,57.0,47.0,53.0,50.0,32.0,27.0,28.0,39.0,40.0,39.0,39.0,45.0,26.0,30.0,42.0,109,4.0,37,38,59,33,30,25,24,25,21,46,37,30,,,,,,
Grèce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,70.0,19.0,33.0,73.0,6.0,46.0,82.0,142.0,110.0,72.0,65.0,36.0,24.0,38.0,25.0,0.0,0.0,0,0.0,0,0,8,0,0,143,93,69,42,75,0,0,,,,,,
Bulgarie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,30.0,10.0,37.0,,29.0,48.0,71.0,59.0,35.0,65.0,78.0,33.0,17.0,5.0,40.0,80.0,78.0,180,0.0,0,21,0,0,214,413,324,376,343,229,103,103,,,,,,
Allemagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,94.0,81.0,53.0,21.0,13.0,37.0,43.0,34.0,54.0,32.0,41.0,26.0,23.0,50.0,51.0,33.0,42.0,188,10.0,0,421,330,0,0,0,0,0,0,0,0,0,,,,,,
Pays-Bas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,142.0,101.0,78.0,72.0,90.0,71.0,11.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,5,0,0,0,10,5,9,22,,,,,,
Norvège,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,47.0,24.0,25.0,84.0,7.0,,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,19.0,20.0,66.0,454,78.0,236,412,588,405,290,350,240,259,150,96,171,306,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,26.0,10.0,15.0,6.0,1.0,11.0,7.0,1.0,0.0,0.0,0.0,3.0,3.0,21.0,35.0,26.0,32.0,96,3.0,28,33,26,15,24,13,10,22,17,24,15,16,,,,,,
Turquie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,15.0,30.0,18.0,11.0,20.0,37.0,33.0,49.0,21.0,11.0,0.0,0.0,0.0,6.0,17.0,118.0,111.0,486,105.0,175,466,690,483,477,538,558,525,638,464,521,475,,,,,,
Suède,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,73.0,28.0,21.0,15.0,17.0,17.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Autres Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,238.0,59.0,101.0,149.0,310.0,492.0,546.0,456.0,455.0,456.0,357.0,366.0,670.0,873.0,862.0,1 899,571.0,1 793,2 527,2 185,1 909,2 160,2 624,1 595,1 511,1 360,1 274,1 267,3 610,,,,,,
