;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Phosphates;4412.2;4462.2;4129.5;4214.9;4006.0;3468.0;3729.0;4593.0;5080.7;6085.9;17683.6;4453.3;8984.0;12610.1;12826.5;9097.2;8203.0;9979.3;7411.9;8370.2;8298.1;7310.9;7337.5;8973.8
Acide Phosphorique;4786.2;5776.6;5365.1;5076.0;5128.0;4855.9;6320.0;7641.4;7891.3;9068.8;22830.6;8051.1;13753.0;17114.7;14666.6;12052.9;12781.1;16083.5;11162.0;10636.6;13862.8;13584.4;11382.7;19692.2
Engrais;3290.1;3107.2;3429.6;3946.6;3650.1;3553.9;3822.4;3939.1;4693.7;7182.5;10946.8;5620.4;13151.3;18735.8;20901.8;16181.5;17317.2;18338.1;21024.5;25202.8;29827.8;28050.2;32147.6;51211.1
TOTAL;12488.5;13346.0;12924.1;13237.5;12784.1;11877.9;13871.4;16173.5;17665.7;22337.1;51460.9;18124.8;35888.3;48460.7;48395.0;37331.6;38301.2;44400.9;39598.5;44209.7;51988.7;48945.6;50867.8;79877.0
