;1980T1;1980T2;1980T3;1980T4;1981T1;1981T2;1981T3;1981T4;1982T1;1982T2;1982T3;1982T4
Mines;151.0;152.0;143.0;149.0;143.0;155.0;142.0;142.0;133.0;139.0;139.0;150.0
    Autres minerais non métalliques;8.0;59.0;22.0;52.0;31.0;31.0;5.0;9.0;0.0;0.0;0.0;0.0
    Phosphates;168.0;171.0;161.0;168.0;158.0;178.0;164.0;158.0;144.0;147.0;152.0;162.0
    Minerais de fer;1.0;17.0;20.0;6.0;4.0;6.0;8.0;8.0;21.0;27.0;35.0;38.0
    Autres minerais métalliques;139.0;126.0;122.0;124.0;130.0;121.0;107.0;130.0;133.0;149.0;133.0;149.0
