;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Arrivés de MRE aux frontières;195.489;361.208;526.927;594.072;600.979;643.543;657.355;681.155;862.791;953.178;1045.83;971.858;1137.691;1081.656;1171.693;1077.522;1060.607;1248.22;1141.0;1542.0;1952.615;2130.328;2230.993;2537.396;2769.132;2787.825;2986.372;3376.719;3666.784;4048.279;4377.903;4408.25;4363.427;4722.931;4845.491;5025.058;5228.527;5484.427;5609.607;5889.254;1369.808;2437.367;5804.083
Arrivés de touristes étrangers de Séjour (TES);1123.086;1205.797;1288.508;1283.3;1335.046;1536.563;1470.637;1566.254;1978.42;2515.251;2978.366;3190.381;3252.062;2945.7;2293.744;1681.0;1796.0;1955.0;2126.0;2546.0;2325.505;2249.662;2222.267;2223.875;2707.581;3055.552;3571.961;4030.898;4211.855;4292.958;4910.435;4933.883;5011.729;5323.333;5437.453;5151.704;5103.204;5864.92;6679.101;7043.006;1407.994;1284.335;5064.774
Total arrivées des touristes;1318.575;1567.005;1815.435;1877.372;1936.025;2180.106;2127.992;2247.409;2841.211;3468.429;4024.196;4162.239;4389.753;4027.356;3465.437;2758.522;2856.607;3203.22;3267.0;4088.0;4278.12;4379.99;4453.26;4761.271;5476.713;5843.377;6558.333;7407.617;7878.639;8341.237;9288.338;9342.133;9375.156;10046.264;10282.944;10176.762;10331.731;11349.347;12288.708;12932.26;2777.802;3721.702;10868.857
