;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Hôtel 1*;;;;;;;;446760.0;470358.0;495703.0;447454.0;431846.0;448746.0;421593.0;399487.0;356014.0;252477.0;324038.0;341202.0;381401.0;342409.0;337130.0;344049.0;349999.0;330233.0;338487.0;324049.0;396681.0;482941.0;468565.0;489508.0;490258.0;469465.0;594611.0;602675.0;585445.0;589346.0;44479.0;621081.0;647997.0;;297673.0;
Hôtel 2*;;;;;;;;645749.0;718857.0;787580.0;753250.0;700707.0;715552.0;675524.0;603897.0;492652.0;671376.0;582639.0;715576.0;776237.0;889413.0;916612.0;812219.0;772555.0;698829.0;707460.0;830837.0;1020662.0;922419.0;780169.0;780397.0;718494.0;770692.0;788214.0;764047.0;774466.0;796280.0;66523.0;848372.0;969963.0;;458704.0;
Hôtel 3*;;;;;;;;955735.0;1051285.0;1112850.0;1146255.0;950559.0;1223409.0;1256877.0;1310267.0;1160646.0;1460758.0;1620754.0;1747173.0;1999624.0;1848900.0;1888341.0;1687141.0;1572589.0;1968013.0;2487696.0;2465261.0;2548159.0;2505022.0;2529291.0;2402012.0;2246036.0;2560817.0;2683807.0;2510066.0;2300268.0;2356325.0;223135.0;3186992.0;3164884.0;;1339230.0;
Hôtel 4*;;;;;;;;4430522.0;4535749.0;4523929.0;4309920.0;3057663.0;4665093.0;5162009.0;5050906.0;4302289.0;3429922.0;3766406.0;4055050.0;4472038.0;4730300.0;4435675.0;3958624.0;4000730.0;4607514.0;5268687.0;5886489.0;5796724.0;5580637.0;5602921.0;6260585.0;5594265.0;5475923.0;5921005.0;6201379.0;5475245.0;5392056.0;444873.0;7166311.0;7507764.0;;2453840.0;
Hôtel 5*;;;;;;;;1844878.0;1771552.0;1704437.0;1544951.0;1157465.0;1603263.0;1836442.0;1877762.0;1663054.0;1730980.0;1919855.0;2141719.0;2200779.0;2302246.0;2032952.0;1786445.0;1794875.0;2516536.0;2758247.0;3034113.0;3357909.0;3252524.0;3044779.0;3561955.0;3441149.0;3909772.0;4286914.0;4472777.0;4342332.0;4772659.0;398188.0;5150752.0;5727259.0;;2384396.0;
Résidence touristique;;;;;;;;649524.0;652842.0;740833.0;710327.0;479884.0;680437.0;698125.0;747199.0;679014.0;494278.0;504772.0;562012.0;594713.0;534049.0;536296.0;462222.0;517749.0;566173.0;584181.0;482941.0;502345.0;535894.0;575742.0;661445.0;789779.0;850259.0;954329.0;1033207.0;1172413.0;1283277.0;101592.0;1059897.0;1557974.0;;743916.0;
Villages de vacances touristiques (V.V.T.);;;;;;;;1180668.0;1348140.0;1384575.0;1285518.0;841343.0;1333419.0;1542293.0;1546154.0;1287721.0;2033415.0;2189979.0;2419004.0;2639205.0;2892250.0;2548221.0;2270182.0;2164622.0;2477572.0;287366.0;3033787.0;2811679.0;2620728.0;2595096.0;3132058.0;2989933.0;2847734.0;3161641.0;3196252.0;3038293.0;3206331.0;264577.0;3236996.0;4206664.0;;1411777.0;
Total;7806.0;7590.0;8236.0;8563.0;9051.0;9642.0;9777.0;10153836.0;10548783.0;10749907.0;10197675.0;7619467.0;10669919.0;11592863.0;11535672.0;9941390.0;10073206.0;10908443.0;11981943.0;13063997.0;13539567.0;12695227.0;11320882.0;11173119.0;13164870.0;15215589.0;16326885.0;16893803.0;16461517.0;16238581.0;18020872.0;16867222.0;17485762.0;19114129.0;19633475.0;18424251.0;19287758.0;22100701.0;23953859.0;25280978.0;6975620.0;9196021.0;19009.0
