;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
1 étoile;;;;;;;;;4648.0;5221.0;5029.0;5083.0;5945.0;5246.0;5246.0;5619.0;6371.0;6410.0;5894.0;6277.0;7972.0;9003.0;9478.0;9815.0;10326.0;12197.0;13855.0;14406.0;14648.0;14862.0;15564.0;16472.0;16502.0;16973.0;17041.0
2 étoiles;;;;;;;;;8269.0;7552.0;7486.0;7733.0;8642.0;9768.0;9882.0;10339.0;12434.0;12038.0;11492.0;12586.0;13319.0;13199.0;13205.0;13653.0;13537.0;14063.0;14643.0;15386.0;15868.0;16558.0;17241.0;16564.0;16962.0;18001.0;17984.0
3 étoiles;;;;;;;;;17157.0;17573.0;17751.0;17895.0;18986.0;17925.0;18837.0;19760.0;17796.0;20352.0;22781.0;23175.0;23204.0;24526.0;25088.0;24772.0;25580.0;27879.0;28307.0;28829.0;30158.0;30978.0;33861.0;34120.0;35316.0;35008.0;35245.0
4 étoiles;;;;;;;;;27036.0;26423.0;25926.0;26183.0;25360.0;26935.0;27380.0;29793.0;33657.0;33991.0;33907.0;36568.0;37363.0;39149.0;41664.0;46666.0;46846.0;46599.0;47833.0;49211.0;47302.0;50487.0;48254.0;51344.0;52092.0;51321.0;51385.0
5 étoiles;;;;;;;;;13571.0;13650.0;13650.0;13650.0;13312.0;15006.0;15006.0;16201.0;17174.0;17758.0;18454.0;19848.0;22159.0;24498.0;27421.0;28025.0;30461.0;32595.0;32684.0;32662.0;35611.0;37308.0;39856.0;33821.0;35527.0;37078.0;38372.0
Villages de vacances touristiques (V.V.T.);;;;;;;;;13951.0;15431.0;15431.0;15431.0;15659.0;15659.0;15659.0;16327.0;16437.0;17693.0;16777.0;16523.0;17483.0;17685.0;21579.0;19584.0;20046.0;20167.0;21509.0;19820.0;21509.0;22335.0;22297.0;20975.0;20975.0;21060.0;22517.0
Résidence touristique;;;;;;;;;5879.0;5231.0;5231.0;5325.0;5479.0;4641.0;4991.0;5099.0;5746.0;6108.0;6569.0;7492.0;8568.0;9672.0;10074.0;11612.0;15632.0;15815.0;17077.0;21015.0;22256.0;24177.0;25525.0;23914.0;24718.0;25687.0;27148.0
Total;71821.0;74343.0;80554.0;88578.0;92937.0;84237.0;88881.0;89953.0;90511.0;91081.0;90504.0;91300.0;93383.0;95180.0;97001.0;102097.0;109615.0;119248.0;124270.0;133230.0;143221.0;152927.0;164612.0;173133.0;184125.0;198211.0;207572.0;216386.0;233550.0;244971.0;253721.0;261147.0;268834.0;276267.0;282429.0
