;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Tourisme étranger (Non-résidents);13931.0;14326.0;12525.0;12703.0;15046.0;16812.0;17406.0;3470.0;2818.0;
Tourisme interne (Résidents);5183.0;5307.0;5899.0;6551.0;7055.0;7142.0;7838.0;3506.0;6378.0;
Total arrivées des touristes;19114129.0;19633475.0;18424251.0;19287758.0;22100701.0;23953859.0;25280978.0;6975620.0;9196021.0;19009.0
