Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Arrivés de touristes étrangers de Séjour (TES),
frequence,Mensuelle,
Scenario ,Reel,
Source ,Ministère du tourisme,MT
Période disponible ,2024M02 - 2025M02,
Date de dernière mise à jour ,2025-04-15 15:49:54.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Arrivées des touristes,
Unité,Nombre,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
Région/Province,Total des régions,
type de tourisme,Arrivés de touristes étrangers de Séjour (TES),
Voie d'entree touristique,Total,
