;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
            Hollande;16724.0;21468.0;22763.0;23187.0;27092.0;27654.0;29051.0;22011.0;28832.0;33624.0;36426.0;44615.0;41378.0;35099.0;43982.0;54168.0;59436.0;60489.0;65085.0;66486.0;73190.0;80090.0;92201.0;107257.0;128093.0;139611.0;175078.0;197642.0;204767.0;210859.0;191158.0;183349.0;182379.0;214016.0;237539.0;241065.0;40909.0;34591.0;129922.0
            Portugal;14143.0;15008.0;13289.0;14887.0;14746.0;14786.0;15593.0;11969.0;18438.0;19969.0;17848.0;16472.0;15202.0;19515.0;18335.0;25018.0;31302.0;35103.0;42022.0;36389.0;38951.0;36980.0;43876.0;48641.0;47055.0;53079.0;63077.0;72995.0;54194.0;60143.0;60486.0;60736.0;69014.0;86987.0;102633.0;119738.0;17237.0;;
            Suède;16053.0;15337.0;14453.0;12875.0;12672.0;13331.0;14690.0;10083.0;13028.0;12687.0;13972.0;12000.0;15803.0;19279.0;25412.0;30661.0;29725.0;29464.0;19650.0;24094.0;26723.0;26638.0;27305.0;29554.0;26787.0;24535.0;28159.0;34506.0;25785.0;34405.0;40320.0;34322.0;38488.0;47036.0;;;;;
            Autriche;13087.0;16543.0;13796.0;13103.0;12969.0;17227.0;16053.0;8695.0;18053.0;23534.0;17013.0;12489.0;15257.0;16804.0;20955.0;19493.0;23297.0;21235.0;15928.0;12798.0;13561.0;14634.0;13930.0;17536.0;15901.0;13581.0;17731.0;13956.0;14758.0;17439.0;21203.0;29646.0;25643.0;31136.0;;;;;
            Danemark;11648.0;16575.0;15801.0;15406.0;17779.0;13388.0;14402.0;6238.0;9737.0;9208.0;10975.0;7669.0;10391.0;9370.0;14607.0;15896.0;14619.0;16094.0;11185.0;15593.0;15143.0;12115.0;11559.0;12585.0;12281.0;10512.0;14863.0;22153.0;18253.0;22444.0;24852.0;22526.0;28919.0;36482.0;;;;;
            Irlande;;;;;2415.0;2217.0;1942.0;2800.0;2968.0;8089.0;5627.0;6803.0;9005.0;8736.0;12323.0;11354.0;10943.0;11816.0;14263.0;15166.0;18112.0;13202.0;18706.0;14041.0;15562.0;17974.0;20341.0;15446.0;14242.0;16591.0;21069.0;23430.0;18281.0;18158.0;;;;;
            Finlande;12643.0;21985.0;20448.0;17943.0;14712.0;17201.0;27544.0;14209.0;13152.0;7905.0;12222.0;19084.0;14555.0;8467.0;10605.0;12957.0;11765.0;10544.0;9197.0;9661.0;10012.0;9290.0;8631.0;10760.0;10727.0;8874.0;6045.0;5263.0;5658.0;8043.0;10035.0;9009.0;6966.0;10649.0;;;;;
            Grèce;2830.0;3025.0;2909.0;3383.0;4965.0;3701.0;4715.0;3874.0;4830.0;6957.0;6067.0;4957.0;5075.0;5758.0;6045.0;6536.0;5381.0;5198.0;5212.0;5337.0;5809.0;6663.0;7432.0;7277.0;7473.0;7875.0;7844.0;5340.0;5266.0;5856.0;6236.0;5874.0;6273.0;8190.0;;;;;
            Luxembourg;1357.0;1931.0;2233.0;2155.0;2358.0;1526.0;1356.0;504.0;1088.0;2272.0;1598.0;1101.0;1234.0;1945.0;1879.0;1816.0;1895.0;1692.0;1596.0;1000.0;1326.0;1548.0;1934.0;1930.0;2786.0;3509.0;4141.0;3991.0;4188.0;4874.0;4895.0;3934.0;3298.0;3746.0;;;;;
        Europe Hors UE;36607.0;40549.0;73951.0;80378.0;52493.0;55183.0;53234.0;43201.0;54598.0;52637.0;53456.0;61347.0;65422.0;70536.0;86767.0;100691.0;113494.0;92180.0;90037.0;103182.0;112564.0;117383.0;143438.0;188727.0;205746.0;209153.0;255076.0;255627.0;250455.0;313234.0;324605.0;297133.0;307783.0;373145.0;468789.0;466595.0;93912.0;;
            Suisse;21311.0;26467.0;26334.0;28454.0;31689.0;32646.0;29551.0;22699.0;32307.0;31581.0;27181.0;25586.0;29514.0;28164.0;36370.0;37993.0;44556.0;38901.0;42186.0;42173.0;41758.0;46508.0;45901.0;56869.0;62290.0;65064.0;71640.0;67615.0;61934.0;72976.0;81882.0;79800.0;73955.0;80254.0;97195.0;95790.0;18947.0;20732.0;231006.0
            Norvège;7512.0;7622.0;7374.0;5265.0;6346.0;6244.0;6109.0;4210.0;5922.0;7116.0;8886.0;6258.0;8211.0;9311.0;13236.0;19794.0;21826.0;15699.0;12057.0;17651.0;13988.0;10585.0;9552.0;10324.0;11399.0;10934.0;15255.0;21847.0;17469.0;19107.0;19986.0;17697.0;18636.0;24293.0;24846.0;18508.0;3283.0;;
            Pologne;;;;;2248.0;3974.0;1787.0;1728.0;1568.0;2411.0;3469.0;5535.0;5002.0;5472.0;8230.0;8679.0;8628.0;8796.0;6972.0;5457.0;8913.0;10632.0;20571.0;31142.0;36596.0;34686.0;42040.0;49933.0;41768.0;47994.0;64650.0;50042.0;37001.0;53293.0;82420.0;78419.0;13992.0;;
            Russie;;;;;;;;;;;;4915.0;3728.0;6126.0;3568.0;4530.0;8089.0;8476.0;8234.0;8039.0;11318.0;8670.0;11975.0;12724.0;16220.0;19114.0;32460.0;22620.0;29644.0;47138.0;34507.0;23353.0;47274.0;39653.0;37309.0;40020.0;9314.0;;
            Tchéquie;;;;;796.0;1334.0;1564.0;856.0;2315.0;2071.0;1544.0;2618.0;2607.0;2662.0;3360.0;4076.0;4728.0;4166.0;3292.0;5031.0;4048.0;3566.0;3902.0;5232.0;4708.0;5685.0;5647.0;10435.0;11729.0;20511.0;18286.0;14353.0;12568.0;13946.0;;;;;
            Turquie;;;;;1152.0;1646.0;2027.0;1602.0;1554.0;1780.0;2295.0;3031.0;3065.0;3398.0;3220.0;4220.0;4616.0;3898.0;5153.0;8012.0;7900.0;12161.0;14574.0;15633.0;16117.0;16708.0;20727.0;22165.0;25764.0;27240.0;27451.0;30579.0;32321.0;36014.0;32967.0;38514.0;14934.0;;
            Hongrie;;;;;;;;;;;;2768.0;2544.0;2229.0;2994.0;3019.0;2792.0;2446.0;2275.0;4982.0;8385.0;5957.0;5896.0;5335.0;4766.0;5175.0;5171.0;4657.0;3950.0;4471.0;4204.0;4823.0;4942.0;9917.0;;;;;
            Autres Pays d'Europe;7784.0;6460.0;40243.0;46659.0;10262.0;9339.0;12196.0;12106.0;10932.0;7678.0;10081.0;10636.0;10751.0;13174.0;15789.0;18380.0;18259.0;9798.0;9868.0;11837.0;16254.0;19304.0;31067.0;51468.0;53650.0;51787.0;62136.0;56355.0;58197.0;73797.0;73639.0;76486.0;81086.0;115775.0;;;;;
        Amérique;131117.0;137188.0;67614.0;84358.0;91678.0;117044.0;116034.0;69879.0;119539.0;122875.0;124307.0;117468.0;119540.0;129543.0;141693.0;178642.0;178625.0;149103.0;119229.0;107877.0;127974.0;140194.0;173258.0;196154.0;201915.0;214692.0;251012.0;239591.0;257908.0;294618.0;303550.0;333008.0;379454.0;480371.0;563435.0;603885.0;99063.0;;
        Maghreb;81139.0;145187.0;81588.0;20265.0;445459.0;1011507.0;1562570.0;2174473.0;1738349.0;1306121.0;751375.0;56562.0;60569.0;62636.0;61153.0;60368.0;63989.0;71454.0;67279.0;73225.0;81969.0;93549.0;107164.0;122750.0;135820.0;135766.0;155550.0;174417.0;219280.0;270227.0;213675.0;195214.0;209823.0;207885.0;214295.0;227281.0;49240.0;46265.0;
        Moyen Orient;67234.0;54004.0;46438.0;45795.0;44741.0;50440.0;40226.0;35428.0;42605.0;46195.0;49368.0;49613.0;51432.0;53441.0;63975.0;69036.0;67157.0;72165.0;74273.0;69067.0;74873.0;81376.0;93505.0;101875.0;111463.0;117489.0;121635.0;134289.0;152987.0;164534.0;177233.0;198229.0;208655.0;203499.0;199303.0;198454.0;47311.0;75487.0;
        Afrique;8942.0;10402.0;11369.0;12766.0;15352.0;15078.0;16591.0;15354.0;15356.0;16157.0;16333.0;21070.0;26576.0;28308.0;32363.0;36771.0;36077.0;38477.0;36152.0;39547.0;50554.0;60001.0;70458.0;84169.0;94086.0;104884.0;121503.0;134452.0;142953.0;144540.0;157289.0;162834.0;179105.0;200311.0;226525.0;188792.0;53779.0;86466.0;
        Asie;9488.0;10301.0;8876.0;11947.0;12933.0;15070.0;14912.0;10945.0;13312.0;14484.0;15870.0;28347.0;29385.0;31957.0;34117.0;39072.0;40120.0;33094.0;35616.0;34743.0;39993.0;44907.0;53829.0;60760.0;63418.0;64650.0;82173.0;81291.0;100411.0;108311.0;111479.0;105125.0;162190.0;252381.0;284917.0;307871.0;55974.0;;
        Australie;6116.0;6621.0;7435.0;9758.0;6143.0;5989.0;6108.0;4760.0;5884.0;5482.0;9951.0;4505.0;5193.0;6067.0;7042.0;9483.0;11636.0;13321.0;12164.0;10047.0;12544.0;12327.0;17732.0;22064.0;21467.0;20531.0;24690.0;23502.0;22812.0;26117.0;27092.0;26179.0;26576.0;33595.0;37813.0;37625.0;4733.0;;
        Divers;19100.0;19277.0;5321.0;5258.0;18954.0;26436.0;30638.0;24411.0;21239.0;20129.0;24104.0;3020.0;2771.0;3522.0;4930.0;5661.0;9319.0;7503.0;8801.0;8897.0;9884.0;15043.0;30051.0;36211.0;18823.0;10873.0;9452.0;8464.0;9048.0;7526.0;7134.0;8113.0;7746.0;9174.0;11181.0;7887.0;1175.0;;
