Ventilation des crédits à l'équipement par branche d'activité*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
Encours en MDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-12-13 00:00:00,2007-03-14 00:00:00,2007-06-15 00:00:00,2007-09-16 00:00:00,2007-12-17 00:00:00,2008-03-18 00:00:00,2008-06-19 00:00:00,2008-09-20 00:00:00,2008-12-21 00:00:00,2009-03-21 00:00:00,2009-06-21 00:00:00,2009-09-21 00:00:00,2009-12-21 00:00:00,2010-03-22 00:00:00,2010-06-23 00:00:00,2010-09-24 00:00:00,2010-12-25 00:00:00,2011-03-26 00:00:00,2011-06-27 00:00:00,2011-09-28 00:00:00,2011-12-29 00:00:00,2012-03-29 00:00:00,2012-06-01 00:00:00,2012-09-04 00:00:00,2012-12-08 00:00:00,2013-03-13 00:00:00,2013-06-16 00:00:00,2013-09-19 00:00:00,2013-12-23 00:00:00,2014-03-28 00:00:00,2014-06-01 00:00:00,2014-09-04 00:00:00,2014-12-08 00:00:00,2015-03-15 00:00:00,2015-06-20 00:00:00,2015-09-25 00:00:00,2015-12-31 00:00:00,2016-03-06 00:00:00,2016-06-09 00:00:00,2016-09-12 00:00:00,2016-12-15 00:00:00,2017-03-19 00:00:00,2017-06-21 00:00:00,2017-09-24 00:00:00,2017-12-27 00:00:00,2018-03-30 00:00:00,2018-06-02 00:00:00,2018-09-05 00:00:00,2018-12-09 00:00:00,2019-03-14 00:00:00,2019-06-17 00:00:00,2019-09-20 00:00:00,2019-12-24 00:00:00,2020-03-28 00:00:00,2020-06-01 00:00:00,2020-09-20 00:00:00,2020-12-24 00:00:00,2021-03-28 00:00:00,2021-06-30 00:00:00,2021-09-02 00:00:00,2021-12-28 00:00:00,2022-03-24 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-03 00:00:00,2023-06-06 00:00:00,2023-09-09 00:00:00,2023-12-12 00:00:00,2024-03-15 00:00:00,2024-06-15 00:00:00,2024-09-15 00:00:00,2024-12-15 00:00:00,2025-03-15 00:00:00,2025-06-15 00:00:00,2025-09-15 00:00:00,2025-12-15 00:00:00,2026-03-15 00:00:00
Crédits à l'équipement,58411.4818080652,61161.53045626678,63274.27359157759,67058.38657309106,76851.74904586804,81999.47733002361,84002.21911538579,85312.48508195273,91708.93497267339,97469.21908105847,104499.45445332781,111093.39085445747,114967.06153923752,120866.81337578314,122731.52785959405,130078.51275883384,134516.1346781277,132866.156707404,135745.73693865634,136129.50781149295,140096.84302259856,135929.52984567484,137414.16379885477,134896.1859264736,137251.61921136806,134113.00596730824,137348.86205286754,134609.5704454166,139374.2277828868,136308.6988002353,140715.53700281138,139861.13253237883,142533.83225171018,142390.4910410606,139469.46733030153,137674.56756950807,141514.7337700669,142981.96076938763,143989.53650244157,147441.45067194462,152917.94923839445,151924.78967163042,157481.69666309888,165233.5592218985,170582.24430347772,171044.65709301567,172749.831543345,171659.29101202814,173613.89347140983,174572.65886687147,176500.58175163704,177198.41491161476,183612.9668768919,189570.86899642798,182993.17109141464,180145.3267779212,181503.56100194255,181454.26497337763,180966.64748221484,178053.48288798914,175548.65036760218,178852.04751134367,179269.29589766893,180953.67303709677,186215.29269094171,186444.7681196798,193595.62897465198,196445.12038535834,208265.53391721076,211877.42171294414,216424.8668082971,219863.94491751608,245254.42559745946,249622.18562548046,260205.99868221174,269450.74342913507,306869.36130133434,313087.90719865955
Secteur primaire,7846.0724509802585,8599.205122793468,8946.448603089742,8863.908467883113,8594.802360023003,9005.378300242488,6039.077945818492,6412.357374587395,6427.62462699878,5506.044450472487,5961.751444712063,6200.531496547392,6601.467010025505,6419.238134922623,5780.676013922037,6992.43906634046,10327.444377054064,9984.107219789352,8229.170761170244,9027.377204223127,9428.734326712995,10078.101538119095,9781.423279997867,10846.211795727042,10471.512455165617,10462.66855596637,10569.233858477955,10689.908832667063,10442.888068555863,10835.995708098679,12743.905447949614,12939.763501315003,11684.702557461902,11711.097504654543,11616.800258752917,11599.074988762193,12220.133527301097,11825.357014762998,11932.327630769145,12509.73847962357,12544.089313711063,12913.173737679903,12829.122020726498,12892.15823887628,13008.839202752019,13007.328266774763,13116.892122742129,19152.576036424754,19154.280537046114,13386.800579188646,13515.931993212456,13802.113021919036,13995.478948995667,13266.430039032786,12790.331636877076,13269.868344207165,13112.617437424304,13007.349331050129,13035.260738860148,13390.058788757902,13647.92555863867,13582.209114387055,13444.088179103208,13538.476086531518,13740.086081343356,14034.105204227022,13873.052485751181,14317.6113465189,14230.93926528667,14109.68733827673,14314.437092616852,14073.567587083879,14288.418626085915,14262.633406241546,15193.49104169256,15987.168765493987,16101.44412929919,16311.817597863592
Agriculture et pêche,7846.0724509802585,8599.205122793468,8946.448603089742,8863.908467883113,8594.802360023003,9005.378300242488,6039.077945818492,6412.357374587395,6427.62462699878,5506.044450472487,5961.751444712063,6200.531496547392,6601.467010025505,6419.238134922623,5780.676013922037,6992.43906634046,10327.444377054064,9984.107219789352,8229.170761170244,9027.377204223127,9428.734326712995,10078.101538119095,9781.423279997867,10846.211795727042,10471.512455165617,10462.66855596637,10569.233858477955,10689.908832667063,10442.888068555863,10835.995708098679,12743.905447949614,12939.763501315003,11684.702557461902,11711.097504654543,11616.800258752917,11599.074988762193,12220.133527301097,11825.357014762998,11932.327630769145,12509.73847962357,12544.089313711063,12913.173737679903,12829.122020726498,12892.15823887628,13008.839202752019,13007.328266774763,13116.892122742129,19152.576036424754,19154.280537046114,13386.800579188646,13515.931993212456,13802.113021919036,13995.478948995667,13266.430039032786,12790.331636877076,13269.868344207165,13112.617437424304,13007.349331050129,13035.260738860148,13390.058788757902,13647.92555863867,13582.209114387055,13444.088179103208,13538.476086531518,13740.086081343356,14034.105204227022,13873.052485751181,14317.6113465189,14230.93926528667,14109.68733827673,14314.437092616852,14073.567587083879,14288.418626085915,14262.633406241546,15193.49104169256,15987.168765493987,16101.44412929919,16311.817597863592
Secteur secondaire,22379.776160692734,22415.18962948433,23592.94744447607,24435.626068513142,28619.793660080286,31613.278089443877,32385.814389048708,30230.81613561791,34841.24657108288,34518.59557301193,40323.086874911125,42851.433464450325,45792.087939933794,48824.09714262794,48496.71893895237,48549.151599466335,52760.91713849263,50928.76399393032,53788.48899759423,53030.52792046612,54541.16755918147,54908.73950007868,54983.26522520142,54729.32958635242,54372.98971782919,53874.981838622334,55907.56537240156,56867.28388454674,62606.741310387726,61856.235724079146,64247.88806035318,64515.57126910942,66948.510430843,69163.05444655319,68685.28697940132,68190.84732337571,67487.352935021,68740.10893290074,70740.04761850693,74219.42475343068,71944.12950505526,71832.40497968404,74959.02795738571,75135.82381887535,79972.42329380405,81927.42540238918,83409.47920390092,78383.37355588556,76522.42941494526,76706.27464621235,75959.98303006633,74140.50138926269,80270.97225860215,81425.47939701329,79475.60023895386,75154.0921117682,72817.90543607208,72649.39430372388,70294.82729503763,68531.34367305868,66680.18315217529,67663.01574881314,65896.22527779335,67880.10019051202,71918.33610625572,74119.29844866425,76681.57647036543,76947.95137602068,81233.18877270188,81503.42911852432,81067.48869574198,80501.6655504412,84181.35829329773,87660.79111486078,90826.74268334765,95973.71165235115,101728.13542309024,101135.40664433743
Industries extractives,350.73417823107826,285.71881273063883,553.6468877014338,775.3483469092008,1003.736601461128,1200.9180813164076,2194.8391530183535,2171.6336369664373,3883.3464815329016,4264.3574695605075,4342.7047950224705,4425.05019456505,3860.6872141915974,3910.4494302253943,2386.842598677059,3451.157267368463,3798.610194975482,3646.9572369010552,3583.660582404766,4170.523416792579,2400.6313217541547,2853.5183410284208,2472.3043009405387,3813.0302957779195,3477.2105398950816,2800.3228085314727,6454.258616764019,6709.533507006812,6303.596792002534,6198.465471512973,8064.696540579362,8966.459597767673,8305.900872965301,9049.014804874148,8321.723557213585,7917.59843916101,7710.6394923515245,7588.287472693738,8644.665533287003,11072.305362209496,10489.766397485273,9674.030896976456,11812.086044178059,11957.20073235887,13353.664847431879,14142.234194921219,15735.155108118735,15452.335748734871,14936.344090567796,14601.173247265637,12950.370249579611,12193.368501565743,16583.001190899282,20393.01217792961,19611.31725143098,18823.39610874505,18791.546215024628,17265.122670802946,16346.782830083324,11521.693126999618,10442.45800975413,11190.242989302862,10268.22998813498,12258.587435188823,12414.71811705595,13685.56274193771,16632.185602327143,16252.775678623899,16572.068758188903,16206.99943024702,16163.834113064599,16230.871349349562,16741.67023422809,16402.535374495616,17829.70347866892,17976.103014771823,16385.398477814582,17955.053646475237
Industries ,14581.237624744414,14246.13345163007,14834.07524037501,15100.903785932107,17243.461833137622,17579.68318038769,17229.393251993097,16965.65710655222,19218.28649778643,19562.027991678096,22021.32406289231,24214.343339483596,25640.309836160835,26357.794945400925,22584.32186836594,22988.290182783472,26970.507569342582,25285.127256415333,27269.130642033495,26733.82785528516,26600.635944007543,26183.48364557569,25088.396831418955,23175.928943682684,22714.723131898896,21343.302509399186,20565.532350099216,20155.95706288014,23360.761181601985,21576.05799674576,21205.662933082065,20380.4272498445,18451.883783962432,20433.25285064647,21092.6848321834,20218.317775042127,19208.28730629189,19862.70677319771,20514.119261621017,20126.92808946306,19038.50786196866,18594.140814392165,18518.689004293145,18476.208900401078,20019.58674894924,20531.55606635071,20245.76609284352,16652.49466200996,16909.27932692417,18488.40868739461,18965.388663536825,19785.514685453847,19015.698015981798,18253.004047707742,18607.54637933818,18063.178098469474,17185.163188689305,18299.860061115014,16860.756547633926,18534.103851612464,18117.751198940965,17959.08772258435,17233.56051717096,16952.350613260012,18482.965081589522,18563.525011004225,17926.8873109883,18519.458242614925,19188.6940713176,19836.70763434506,19984.598966584825,20030.59049265474,21769.99621502849,21849.226449812973,22291.884955150315,26175.731682559603,26782.7424585422,27328.594381635954
Industries alimentaires et tabac,7854.484303590609,6662.484526447785,6629.705737578681,6262.319100141204,6731.692381511659,6244.142273145259,5699.677357225251,5471.816094212133,5228.455197705351,5394.41321739839,6350.990070469959,6728.137917447482,7482.238073628135,7500.964341865157,6275.882393742249,6281.788628624048,7492.63630653145,7494.31180696454,9247.515561192246,8752.528184084891,6780.787932146,7373.304002681706,6878.4746269286725,7124.998973460713,6499.39274278834,6306.258506800668,6220.856187105435,6011.918965687629,7442.07359763078,7404.409286201721,7079.243635687064,7291.026211649232,6728.716389269856,8158.206244106762,7954.959564731172,7739.116083110114,7885.262663382878,8189.275733992392,7319.242048050615,7189.935190224028,7865.45174127059,7854.4343636253725,7900.956856141598,7857.400195306054,7693.955979731377,7402.40225859592,7749.826735510518,4457.554849091835,4603.414012263534,7655.780375000556,7733.880280855756,7930.175644419811,6736.987925189892,6409.880678835103,6512.580159382753,6405.767274607709,6476.641832171013,6481.086621706721,6258.455737741794,6687.392719717029,6591.5938832144975,6870.671952242987,6686.550736065548,6664.001499547066,7418.256266615613,7542.566445814569,7483.240394449518,7454.061320255302,7750.441629443863,7672.025316524339,8051.987848640833,7790.466356533942,8375.929024438907,8226.908805033054,8159.667038078999,8020.539234388029,8203.582727850033,8453.003643838183
"Industries textiles, de l'habillement et du cuir",1243.1024510014079,1202.242132601174,1178.4543237076948,1182.4159159216213,1716.533103492275,1585.547617912138,1591.8427994646568,1419.4547149420982,2069.9331945378417,2188.558002832869,2391.156096339227,2542.167442029254,2762.5256101318387,2773.326138683109,1687.4025902185201,1739.7376581307003,2396.620800430991,2282.818859580459,2051.012714505101,2063.2951201342994,2273.8567753507054,2301.533546497724,2235.467787060338,2223.4372551955134,1821.477381743775,1512.1844784378811,1357.7628856795764,1263.251720043751,1216.9172509794578,1261.1390072924428,1285.5887981490391,1155.0172608187454,898.9712463866614,1002.943056236203,924.4109187489404,958.0704754545643,935.01833503674,974.6030983127963,1022.0478478737168,1056.3155442129173,569.9988062232792,553.963974901227,656.0371701722431,655.4714927664788,596.7547448099614,734.293283255199,669.7889334697852,711.9141716931912,724.5200963932515,770.8114112194029,1162.221642435627,1159.811803460882,1141.6364705969058,1122.3287540460133,1191.890022979875,1191.5189808927983,1141.2967314196749,1212.3483178207507,1180.2194579039333,1418.4498200400265,1546.28667479021,1447.476701907229,1409.2769969275785,1361.4130983007396,1427.3236953854146,1416.8914874795425,1276.3860408281607,1314.769883824455,1313.113222758445,1270.3959012800224,1243.0235328308431,1181.1231025012494,1159.9432110472133,1138.1575385191456,1232.408252947734,1255.9622422494635,1405.8930013758786,1475.8765719312637
