Date,PIB_agrege,Reference_Somme16
2010-01-01,NA,-0.007224403337191987
2010-04-01,0.00895319929709538,0.016216917695782485
2010-07-01,0.0033808569239042216,0.018558036846256343
2010-10-01,0.0031431855383890644,0.009236105843946518
2011-01-01,0.02226838671641315,0.021029035329265255
2011-04-01,-0.01572991053368372,0.012313743021863388
2011-07-01,0.01078554071883963,0.008922156472058518
2011-10-01,3.8831387866203006e-4,0.01166770276595841
2012-01-01,0.00862163405923838,-0.003666131856315147
2012-04-01,0.012953695028727213,0.006997750319827745
2012-07-01,0.003758378418317244,0.008290486402364294
2012-10-01,0.007153871066540362,0.009742668343179162
2013-01-01,0.0057066523647212606,0.0028239560278908726
2013-04-01,0.0029560814605868366,0.011020922979028569
2013-07-01,0.012721280797850608,0.009948659271961091
2013-10-01,0.005663738698134853,0.007772662048635581
2014-01-01,0.006210509496010227,-0.0038097360632640687
2014-04-01,0.00848852269612089,0.0166947227337797
2014-07-01,-0.0017776875534601655,4.614236594875365e-4
2014-10-01,0.009774347422085529,-0.00862051821113674
2015-01-01,0.011316054279695993,0.01975042117043202
2015-04-01,-0.002182855407050788,0.014370702177043171
2015-07-01,0.0026739267381089026,0.006173772845256664
2015-10-01,0.0097862554020485,0.006720702926926947
2016-01-01,0.0018783362653534683,-0.023062376331077772
2016-04-01,0.0038311120190165065,6.20008239375025e-4
2016-07-01,0.012733996171112458,0.0199949721890178
2016-10-01,0.0036680721470972407,0.008683400428799004
2017-01-01,0.009131637807364954,0.01966477282656598
2017-04-01,0.013004343293608753,0.014605377246976303
2017-07-01,0.0036502753392557746,4.931484523122975e-4
2017-10-01,0.0070377524201721015,0.00571412324345566
2018-01-01,0.007770783292366738,0.011032349181531842
2018-04-01,0.010496766355142337,0.011351838673032688
2018-07-01,0.006318465282059531,0.0032534530570700326
2018-10-01,0.010787467177507368,0.004778768811009471
2019-01-01,0.007829108769443816,0.006473525446997641
2019-04-01,4.870387152640226e-5,0.0254103164594337
2019-07-01,0.00496528678953817,-0.008318305755661726
2019-10-01,0.009250125298458102,-0.004046630372810611
2020-01-01,0.01240213936775707,-0.024591513890682037
2020-04-01,-0.044905745040095486,-0.10458112771133443
2020-07-01,0.07587831133554981,0.06110338885974187
2020-10-01,-0.031027609014299903,0.015138847933021893
2021-01-01,0.030651879695280552,0.046238606747396105
