Date,Vente de ciment (1000tonnes)
2018-02-01,1070.0
2018-03-01,1124.0
2018-04-01,1233.0
2018-05-01,1219.0
2018-06-01,816.0
2018-07-01,1298.0
2018-08-01,882.0
2018-09-01,1042.0
2018-10-01,1208.0
2018-11-01,1063.0
2018-12-01,1216.0
2019-01-01,1177.0
2019-02-01,1117.526
2019-03-01,1283.01
2019-04-01,1244.141
2019-05-01,1062.701
2019-06-01,853.624
2019-07-01,1394.152
2019-08-01,759.02
2019-09-01,1154.096
2019-10-01,1354.772
2019-11-01,1038.25
2019-12-01,1189.137
2020-01-01,1182.198
2020-02-01,1173.35
2020-03-01,910.994
2020-04-01,552.472
2020-05-01,523.848
2020-06-01,1130.864
2020-07-01,1073.68
2020-08-01,864.441
2020-09-01,1241.374
2020-10-01,1245.064
2020-11-01,1102.003
2020-12-01,1174.183
2021-01-01,1037.006
2021-02-01,1079.983
2021-03-01,1277.221
2021-04-01,1169.122
2021-05-01,882.785
2021-06-01,1363.579
2021-07-01,898.429
2021-08-01,1132.9
2021-09-01,1395.542
2021-10-01,1254.798
2021-11-01,1227.983
2021-12-01,1255.552
2022-01-01,1128.552
2022-02-01,1111.35
2022-03-01,1188.217
2022-04-01,902.513
2022-05-01,945.706
2022-06-01,1229.937
2022-07-01,630.479
2022-08-01,1071.989
2022-09-01,1174.683
2022-10-01,1048.574
2023-01-01,1061.0
2023-02-01,991.488
2023-04-01,1911.788
2023-05-01,1189.112
2023-06-01,1052.975
2023-08-01,1934.332
2023-09-01,1045.305
2023-10-01,1088.357
2023-11-01,1114.178
2023-12-01,1122.29
2024-01-01,1130.187
2024-02-01,1076.543
2024-03-01,1028.46
2024-04-01,867.739
2024-05-01,1426.939
2024-06-01,746.158
2024-07-01,1189.104
2024-08-01,1265.105
2024-09-01,1088.146
2024-10-01,1302.665
2024-11-01,1278.745
2024-12-01,1292.805
2025-01-01,1285.613
2025-02-01,1199.869
2025-03-01,896.535
2025-04-01,1145.24
2025-05-01,1526.674
2025-06-01,836.363
2025-07-01,1398.058
2025-08-01,1347.858
2025-09-01,1223.924
2025-10-01,1516.302
2025-11-01,1341.36
2025-12-01,1098.99
2026-01-01,1044.293
2026-02-01,1048.338
2026-03-01,919.175
2026-04-01,1509.932
2026-05-01,1211.636
