;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Aux régies distributrices;260.339;290.85;305.9;304.9;332.754;357.403;373.5;405.6;432.9;447.7;422.5;437.5;424.4;446.3;448.5;463.8;476.4;476.9;475.7;470.0;481.0;479.0;500.0;499.0;508.0;528.0;539.0;557.0;565.0;580.0;612.0;634.0;627.0;625.0;645.0;635.0;663.0;685.0;709.0
aux communes;1.617;1.453;1.7;0.9;0.988;1.055;1.2;1.0;0.7;0.2;0.3;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;
aux abonnées consommateurs;41.708;37.782;40.8;50.6;58.197;66.875;64.4;74.6;80.6;91.2;91.5;106.3;108.0;108.4;114.3;122.0;125.2;128.2;134.3;139.0;138.0;148.0;161.0;166.0;173.0;181.0;192.0;209.0;228.0;234.0;243.0;263.0;288.0;298.0;306.0;306.0;404.0;347.0;359.0
Total;303.664;330.085;348.4;356.4;391.939;425.333;439.1;481.2;514.2;539.1;514.3;544.0;532.4;554.7;562.8;585.8;601.6;605.1;610.0;609.0;622.0;626.0;661.0;665.0;681.0;709.0;731.0;766.0;793.0;814.0;854.4;897.4;914.9;922.7;950.3;940.9;1066.0;1032.4;1068.4
