branche,indicateur,source,r_reste,date,valeur
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2008-12-01,943190.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2009-12-01,1067271.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2010-09-01,823285.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2010-10-01,955836.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2011-02-01,119796.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2011-03-01,167315.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2011-04-01,219282.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2011-05-01,249002.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2011-06-01,314281.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2011-07-01,391554.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2011-09-01,603161.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2011-10-01,745939.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2011-11-01,817585.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2011-12-01,914940.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-01-01,75904.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-02-01,116103.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-03-01,188496.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-04-01,267515.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-05-01,379117.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-06-01,466469.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-07-01,561683.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-08-01,649554.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-09-01,805931.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-10-01,899508.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-11-01,999740.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2012-12-01,1120937.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-01-01,72861.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-02-01,157109.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-03-01,250087.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-04-01,325248.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-05-01,403916.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-06-01,503360.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-07-01,643567.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-08-01,758847.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-09-01,895565.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-10-01,948027.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-11-01,1058253.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2013-12-01,1181658.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2014-01-01,71674.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2014-02-01,140440.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2014-03-01,216616.0
Pêche,Débarquement de produits de pêche EN QUANTITE,Manar-Stat,0.9531275899707318,2014-04-01,334460.0
