equation,type,predicteur,retard,coefficient
Finances et assurances,A_l,Industrie d'extraction,1,0.007509476474387896
Finances et assurances,A_l,Construction,1,0.003872502749262141
Finances et assurances,A_l,Information-communication,1,-0.0067387264513770325
Finances et assurances,A_l,Immobilier,1,0.05833147476874261
Finances et assurances,A_l,Agriculture,1,-0.005218951184417552
Finances et assurances,A_l,Commerce,1,0.0010324122993334989
Finances et assurances,A_l,Transports,1,0.003874109789647368
Finances et assurances,A_l,"Électricité, gaz, eau",1,-0.0014041965110683672
Finances et assurances,A_l,Services aux entreprises,1,0.0012401293803139288
Finances et assurances,A_l,Administration publique,1,-0.031156691145401875
Finances et assurances,A_l,Éducation-santé,1,0.07548488403699113
Finances et assurances,A_l,Autres services,1,0.017201082907494003
Finances et assurances,A_l,Industrie de transformation,2,-0.0027265211161737963
Finances et assurances,A_l,Finances et assurances,2,0.0044427249564718465
Finances et assurances,A_l,Hébergement-restauration,2,5.5066954685152795e-05
Finances et assurances,A_l,Pêche,2,-0.0007543074914540911
Finances et assurances,A_l,Industrie d'extraction,2,0.00011018431641181994
Finances et assurances,A_l,Construction,2,0.0024085332510109993
Finances et assurances,A_l,Information-communication,2,-0.0012237958662265217
Finances et assurances,A_l,Immobilier,2,0.012395266995496201
Finances et assurances,A_l,Agriculture,2,-0.001973026878217195
Finances et assurances,A_l,Commerce,2,-0.0018669415416107298
Finances et assurances,A_l,Transports,2,0.0014724231917450196
Finances et assurances,A_l,"Électricité, gaz, eau",2,-0.0018570637924309353
Finances et assurances,A_l,Services aux entreprises,2,0.00023380770087280762
Finances et assurances,A_l,Administration publique,2,0.0021555138865914803
Finances et assurances,A_l,Éducation-santé,2,-0.00704862251193981
Finances et assurances,A_l,Autres services,2,0.0008223801940245009
Finances et assurances,A_l,Industrie de transformation,3,0.0016283237600682758
Finances et assurances,A_l,Finances et assurances,3,0.0013264739888658554
Finances et assurances,A_l,Hébergement-restauration,3,0.0007217210666790066
Finances et assurances,A_l,Pêche,3,-5.670736165250898e-06
Finances et assurances,A_l,Industrie d'extraction,3,0.0007478878565617102
Finances et assurances,A_l,Construction,3,0.001664237255329338
Finances et assurances,A_l,Information-communication,3,-0.000992678915044529
Finances et assurances,A_l,Immobilier,3,0.002679211120001713
Finances et assurances,A_l,Agriculture,3,0.0006434515178224693
Finances et assurances,A_l,Commerce,3,0.004200334953675787
Finances et assurances,A_l,Transports,3,0.0017322669616880576
Finances et assurances,A_l,"Électricité, gaz, eau",3,-0.000745197628166057
Finances et assurances,A_l,Services aux entreprises,3,0.0011660393725976771
Finances et assurances,A_l,Administration publique,3,-0.004138941082193276
Finances et assurances,A_l,Éducation-santé,3,-0.002062647379768404
Finances et assurances,A_l,Autres services,3,0.003153425619349208
Finances et assurances,A_l,Industrie de transformation,4,-0.0005631440443061271
Finances et assurances,A_l,Finances et assurances,4,-0.0012294044398938955
Finances et assurances,A_l,Hébergement-restauration,4,-7.131212222980902e-05
Finances et assurances,A_l,Pêche,4,-0.00029557354510831925
Finances et assurances,A_l,Industrie d'extraction,4,-0.00032590004131208684
Finances et assurances,A_l,Construction,4,-0.0007308329120950523
Finances et assurances,A_l,Information-communication,4,-0.001755169062691522
Finances et assurances,A_l,Immobilier,4,-0.0021298023505623587
Finances et assurances,A_l,Agriculture,4,0.001111622285297226
Finances et assurances,A_l,Commerce,4,-0.0013341254723132712
Finances et assurances,A_l,Transports,4,-0.00018468444445556023
Finances et assurances,A_l,"Électricité, gaz, eau",4,-0.0002704929972390573
Finances et assurances,A_l,Services aux entreprises,4,-0.0006004208350652798
Finances et assurances,A_l,Administration publique,4,0.0019220795069068478
Finances et assurances,A_l,Éducation-santé,4,-0.012102560260109758
Finances et assurances,A_l,Autres services,4,0.002634978595107397
Finances et assurances,A_l,Industrie de transformation,5,0.000111547603330654
Finances et assurances,A_l,Finances et assurances,5,-0.0009505293352591196
Finances et assurances,A_l,Hébergement-restauration,5,0.00010839758524427544
Finances et assurances,A_l,Pêche,5,5.033224533878175e-05
Finances et assurances,A_l,Industrie d'extraction,5,-0.00023746071640200097
Finances et assurances,A_l,Construction,5,0.0011277286205510543
Finances et assurances,A_l,Information-communication,5,0.0002805365397153272
Finances et assurances,A_l,Immobilier,5,-0.0011778859149710833
Finances et assurances,A_l,Agriculture,5,0.00012660098290932477
Finances et assurances,A_l,Commerce,5,-0.0005973583234648633
Finances et assurances,A_l,Transports,5,0.00022679851681710051
Finances et assurances,A_l,"Électricité, gaz, eau",5,0.00014055573476839662
Finances et assurances,A_l,Services aux entreprises,5,0.00048174052369169285
Finances et assurances,A_l,Administration publique,5,0.0010517571605422255
Finances et assurances,A_l,Éducation-santé,5,-0.002327145797208393
Finances et assurances,A_l,Autres services,5,0.000473037320597191
Hébergement-restauration,constante,,0,-0.0003831895002551749
Hébergement-restauration,A_l,Industrie de transformation,1,-0.06738009281863658
Hébergement-restauration,A_l,Finances et assurances,1,0.20101189214070248
Hébergement-restauration,A_l,Hébergement-restauration,1,0.03123379810617623
Hébergement-restauration,A_l,Pêche,1,-0.011508159500846106
Hébergement-restauration,A_l,Industrie d'extraction,1,-0.014575190901432375
Hébergement-restauration,A_l,Construction,1,-0.06244853043608427
Hébergement-restauration,A_l,Information-communication,1,-0.06129119541215407
Hébergement-restauration,A_l,Immobilier,1,0.16369644816883208
Hébergement-restauration,A_l,Agriculture,1,0.007980479327458614
Hébergement-restauration,A_l,Commerce,1,0.022689831705672025
Hébergement-restauration,A_l,Transports,1,-0.03620899305184079
Hébergement-restauration,A_l,"Électricité, gaz, eau",1,-0.04322703183967856
Hébergement-restauration,A_l,Services aux entreprises,1,0.04113298705688255
Hébergement-restauration,A_l,Administration publique,1,0.0055159866533081685
Hébergement-restauration,A_l,Éducation-santé,1,0.3775369397166488
Hébergement-restauration,A_l,Autres services,1,1.0076780047861433
Hébergement-restauration,A_l,Industrie de transformation,2,-0.008349078264954415
Hébergement-restauration,A_l,Finances et assurances,2,-0.013425225268287109
Hébergement-restauration,A_l,Hébergement-restauration,2,-0.011287095599512617
Hébergement-restauration,A_l,Pêche,2,0.003087255015418709
Hébergement-restauration,A_l,Industrie d'extraction,2,-0.002236956913761545
Hébergement-restauration,A_l,Construction,2,-0.020194271338129465
Hébergement-restauration,A_l,Information-communication,2,0.0009128440446485141
Hébergement-restauration,A_l,Immobilier,2,-0.010464599754355618
Hébergement-restauration,A_l,Agriculture,2,-0.0023317275204724846
Hébergement-restauration,A_l,Commerce,2,-0.015952135131265262
Hébergement-restauration,A_l,Transports,2,-0.005437148077195388
Hébergement-restauration,A_l,"Électricité, gaz, eau",2,9.37917668668391e-05
Hébergement-restauration,A_l,Services aux entreprises,2,-0.0021778156383572634
Hébergement-restauration,A_l,Administration publique,2,-0.017969560316967496
Hébergement-restauration,A_l,Éducation-santé,2,0.04964715639083043
Hébergement-restauration,A_l,Autres services,2,0.008041812588014449
Hébergement-restauration,A_l,Industrie de transformation,3,-0.002557367603269574
Hébergement-restauration,A_l,Finances et assurances,3,0.004313724263796567
Hébergement-restauration,A_l,Hébergement-restauration,3,-0.0016770487798794865
Hébergement-restauration,A_l,Pêche,3,-9.917285185528446e-05
Hébergement-restauration,A_l,Industrie d'extraction,3,0.0010258581627271561
Hébergement-restauration,A_l,Construction,3,-0.018690140944048743
Hébergement-restauration,A_l,Information-communication,3,-0.0014881062453746736
