Date,facteur
2006-04-01,0.3702720229562253
2006-07-01,1.9504943744268162
2006-10-01,1.7568779713387357
2007-01-01,1.278342944038638
2007-04-01,0.6482877417876823
2007-07-01,1.0369380998049207
2007-10-01,0.6434915763571578
2008-01-01,0.6862056549798711
2008-04-01,1.0590257834023427
2008-07-01,0.39004586767328164
2008-10-01,0.4640365873538427
2009-01-01,0.6658709858855584
2009-04-01,0.5642528260570546
2009-07-01,1.2481815478425826
2009-10-01,0.528433244786379
2010-01-01,1.9158642953954705
2010-04-01,0.6642636697601961
2010-07-01,1.9248403334167787
2010-10-01,1.364850826853368
2011-01-01,1.5650891589773612
2011-04-01,0.7943126149974684
2011-07-01,1.975809920864831
2011-10-01,0.2755073051378295
2012-01-01,-0.37881945051462595
2012-04-01,0.5966981350007023
2012-07-01,-0.25044199718807836
2012-10-01,-0.4573343057078111
2013-01-01,-0.5271883294458939
2013-04-01,1.3115258664706266
2013-07-01,0.3363884284351801
2013-10-01,0.6298966200631888
2014-01-01,0.5410956292330652
2014-04-01,1.1391860558798224
2014-07-01,0.36224168538060103
2014-10-01,0.6588050632161191
2015-01-01,-1.0682818712743827
2015-04-01,-0.2932892807705508
2015-07-01,2.0310451567563144
2015-10-01,-1.3177235180704914
2016-01-01,-1.612664598856926
2016-04-01,-1.10970983466391
2016-07-01,1.3443625299182607
2016-10-01,-1.945864695271374
2017-01-01,-0.18172959624577018
2017-04-01,-0.3592189683566605
2017-07-01,1.8309419806112268
2017-10-01,-1.4564785130450786
2018-01-01,-1.7762738084573007
2018-04-01,-0.7501145114347445
2018-07-01,1.1571614803124117
2018-10-01,-2.3321622858487223
2019-01-01,-0.948717472049336
2019-04-01,-0.6350136535835333
2019-07-01,1.257437370562529
2019-10-01,-1.9213127782782793
2020-01-01,-1.0367336483052034
2020-04-01,-0.913670922803901
2020-07-01,0.717376076158303
2020-10-01,-0.08679928977600478
2021-01-01,-0.7762308090246185
2021-04-01,-0.9385779823164498
2021-07-01,0.9843654458328831
2021-10-01,-1.734931197872655
2022-01-01,-1.2246146571950425
2022-04-01,-0.6768808861527967
2022-07-01,1.1864081232907888
2022-10-01,-2.123248467338143
2023-01-01,-1.0878311777497505
2023-04-01,-0.2893803013170899
2023-07-01,1.0200648392215659
2023-10-01,-2.016658684355508
2024-01-01,-1.3488204061028972
2024-04-01,-0.19166096558365275
2024-07-01,0.9692863426664534
2024-10-01,-2.3505878458712997
2025-01-01,-1.540158478349871
2025-04-01,-0.2074786774969792
2025-07-01,0.3565754346621706
2025-10-01,-2.340350120817163
2026-01-01,-1.9952036302741105
