;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
    LAKRAA;18812.0;15802.0;20559.0;17495.0;22975.0;21204.0;18836.0;17744.0;29514.0;53347.0;22501.0;26149.0;24547.0;22087.0;
    LARACHE;104594.0;115687.0;145827.0;195609.0;161003.0;205021.0;182647.0;226014.0;178055.0;186851.0;154323.0;175213.0;153485.0;229332.0;
    LASSARGA;0.0;0.0;0.0;321404.0;241850.0;215659.0;276253.0;370956.0;273385.0;391726.0;315136.0;290177.0;303305.0;509571.0;
    LMHIRIZ;255161.0;137946.0;63530.0;24143.0;31742.0;25166.0;38861.0;48134.0;59052.0;37524.0;34773.0;85325.0;53614.0;68331.0;
    MEHDIA;18136.0;14914.0;13286.0;66845.0;;62493.0;60867.0;65803.0;53229.0;78433.0;61091.0;60032.0;49285.0;93615.0;
    MOHAMMEDIA;;;0.0;23881.0;;24924.0;20719.0;17700.0;22852.0;19756.0;13951.0;20341.0;17808.0;24197.0;
    MOULAY BOUSSELHAM;47151.0;47624.0;74183.0;270.0;64920.0;;;2650.0;3513.0;3408.0;3026.0;3227.0;2637.0;7039.0;
    NTIRIFT;195193.0;117110.0;76953.0;189667.0;163514.0;159607.0;190439.0;246115.0;210389.0;213879.0;209027.0;174501.0;187475.0;343211.0;
    OUGNIT;6208.0;3969.0;5412.0;5439.0;3851.0;2146.0;1726.0;573.0;;;;;;;
    RKOUNTE;380774.0;484174.0;458760.0;1138.0;863.0;319.0;1327.0;407.0;1010.0;890.0;374.0;1106.0;772.0;1198.0;
    SAFI;127100.0;166676.0;180334.0;186863.0;218089.0;204043.0;177538.0;203951.0;254851.0;223914.0;250566.0;267471.0;299956.0;368782.0;
    SALE;;;;;;;;4890.0;6564.0;6341.0;4718.0;6425.0;4629.0;19391.0;
    Sidi ABED;;;;;5540.0;8984.0;3300.0;12159.0;15775.0;18621.0;14150.0;12872.0;19679.0;18935.0;
    SIDI BOULFDAIL;406.0;361.0;472.0;4369.0;4401.0;3945.0;5628.0;4340.0;4934.0;5048.0;4586.0;3915.0;2605.0;4663.0;
    SID ELGHAZI;32811.0;20044.0;29321.0;53684.0;28995.0;28836.0;35993.0;48765.0;46868.0;59885.0;48390.0;51571.0;52994.0;91938.0;
    SIDI IFNI;94541.0;83730.0;117289.0;52668.0;91868.0;84838.0;84838.0;63946.0;76590.0;112388.0;142194.0;193088.0;168874.0;201687.0;
    SKHIRAT;;0.0;;9429.0;7077.0;11765.0;3049.0;1083.0;1172.0;289.0;1047.0;1050.0;988.0;3117.0;
    SOUIRIA KDIMA;31222.0;38749.0;27095.0;29088.0;33915.0;39038.0;42123.0;36774.0;48564.0;43078.0;40927.0;41365.0;36823.0;60260.0;
    TAFEDNA;;;;;;3966.0;10540.0;8657.0;9437.0;11648.0;11103.0;10671.0;9534.0;15472.0;
    TAGHAZOUT;3512.0;2663.0;1836.0;3220.0;3253.0;1906.0;2798.0;2644.0;2438.0;2282.0;3879.0;4614.0;2493.0;6673.0;
    TAN TAN;;;;432527.0;494871.0;399341.0;603798.0;354804.0;392326.0;385866.0;683682.0;647830.0;526640.0;793923.0;
    TARFAYA;867325.0;748033.0;528336.0;54749.0;46521.0;45685.0;57498.0;95985.0;105764.0;152279.0;242312.0;225694.0;135147.0;231524.0;
    TAROUMA;;;;;;;;12961.0;13885.0;27900.0;33641.0;25486.0;24139.0;34579.0;
    TIFNIT;;;;;5274.0;6316.0;7440.0;5562.0;3955.0;4057.0;6374.0;5696.0;4965.0;13898.0;
Total General;4478536.0;4256172.0;4225388.0;5028986.0;5141542.0;5486351.0;6037219.0;6586298.0;6845704.0;7285419.0;7347461.0;7342204.0;6721375.0;9108909.0;9705171.0
