;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Pêche côtière;297.3;342.9;292.8;353.0;368.1;346.0;444.8;367.9;423.5;410.1;427.7;442.9;414.2;474.8;610.0;728.7;525.0;661.6;607.1;622.2;765.2;978.5;892.9;865.5;862.4;865.4;702.3;680.36;779.39;884.62;895.33;676.18;848.06;851.29;981.7;1270.1;1357.8;1285.8;1296.8;1378.3;1274.1;1312.3;1499.4;1306.5
Pêche hauturière;31.4;46.9;67.8;85.5;94.5;126.0;149.3;121.8;127.1;112.0;133.4;147.8;131.5;144.8;134.6;113.8;90.9;111.8;91.4;125.0;133.5;122.5;56.5;37.5;75.5;113.2;90.4;88.46;114.9;142.93;159.73;204.46;236.64;297.61;307.8;78.4;81.8;null;57.3;64.2;82.6;81.1;41.0;68.4
Pêche maritime nationale;329.0;390.0;361.0;439.0;463.0;472.0;594.0;490.0;551.0;522.0;561.0;591.0;546.0;620.0;745.0;842.0;616.0;783.0;708.0;758.0;913.0;1111.0;960.0;917.0;954.0;1038.0;881.0;890.86;1019.0;1160.93;1137.55;957.0;1170.98;1240.86;1354.0;1369.3;1466.9;1386.1;1371.7;1461.3;1383.0;1417.8;1556.5;1422.9
