;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Ensemble de la pêche;121536.0;120672.0;130713.0;139289.0;147856.0;177170.0;202822.0;219709.0;224444.0;224565.0;225501.0;225099.0;220552.0;221720.0;223252.0;224057.0;224685.0;228416.0;233492.0;240199.0;246981.0;253456.0;257556.0;259796.71;263643.47;265331.0;265974.45;269527.0;270077.0;272511.0;276567.0;283313.0;287626.0;291534.0;295246.0;296147.0;304548.0;306395.0;310 837;312 807;316 733
Ensemble de la pêche côtière;48211.0;50211.0;52077.0;55353.0;57897.0;62727.0;66056.0;69292.0;71460.0;72148.0;73721.0;74483.0;74087.0;74925.0;76765.0;78598.0;80429.0;84104.0;89426.0;96218.0;102312.0;108654.0;112228.0;114985.0;117601.0;119288.0;120458.0;122499.0;123575.0;125262.0;127583.0;128733.0;133046.0;136 954;139 954;142 092;145 045;145 080;148 472;150 591;153 054
Ensemble de la pêche hauturière;73325.0;70461.0;78636.0;83936.0;89959.0;114443.0;136766.0;150417.0;152984.0;152417.0;151780.0;150616.0;146465.0;146795.0;146487.0;145459.0;144256.0;144312.0;144066.0;143981.0;144669.0;144802.0;145328.0;144811.71;146042.47;146043.0;145516.45;147028.0;146502.0;147249.0;148984.0;154580.0;154580.0;154580.0;155 292;154 055;159 503;161 315;162 365;162 216;163 679
