;2008M12;2009M12;2010M09;2010M10;2010M12;2011M02;2011M03;2011M04;2011M05;2011M06;2011M07;2011M09;2011M10;2011M11;2011M12;2012M01;2012M02;2012M03;2012M04;2012M05;2012M06;2012M07;2012M08;2012M09;2012M10;2012M11;2012M12;2013M01;2013M02;2013M03;2013M04;2013M05;2013M06;2013M07;2013M08;2013M09;2013M10;2013M11;2013M12;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M08;2018M09;2018M10;2018M11;2018M12;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M03;2020M05;2020M06;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2022M01;2022M02;2022M03;2022M04;2022M05;2022M06;2022M07;2022M08;2022M09;2022M10;2022M11;2022M12;2023M01;2023M02;2023M03;2023M04;2023M05;2023M06;2023M07;2023M08;2023M09;2023M10;2023M11;2023M12;2024M01;2024M02;2024M03;2024M04;2024M05;2024M06;2024M07;2024M08;2024M09;2024M10;2024M11;2024M12;2025M01;2025M02;2025M03;2025M04;2025M05;2025M06;2025M07;2025M08;2025M09;2025M10;2025M11;2025M12;2026M01;2026M02;2026M03;2026M04;2026M05
POISSON PELAGIQUE;821282.0;938148.0;721846.0;845899.0;965374.0;98282.0;310899.0;176932.0;198634.0;256726.0;320701.0;499468.0;631721.0;696563.0;781730.0;65442.0;98055.0;161502.0;233354.0;335135.0;410458.0;484264.0;557609.0;699666.0;788441.0;877579.0;979762.0;60142.0;132737.0;211412.0;277862.0;348119.0;433400.0;554225.0;657516.0;784353.0;833260.0;926795.0;1033893.0;61444.0;121918.0;188972.0;298011.0;385936.0;491408.0;571328.0;673538.0;816268.0;925031.0;1055572.0;1153015.0;57381.0;112323.0;186140.0;237106.0;339857.0;471530.0;542925.0;688149.0;776738.0;915648.0;1021746.0;1132236.0;;180205.0;261158.0;360743.0;482563.0;582986.0;663465.0;809980.0;867964.0;1023097.0;1149534.0;1225914.0;69123.0;139732.0;207550.0;;456081.0;525933.0;656991.0;739593.0;832823.0;980710.0;1098197.0;1165003.0;66571.0;120105.0;200 687;291 032;395378.0;471625.0;655466.0;793726.0;970340.0;1069446.0;1189229.0;232322.0;329 185;;513397.0;635735.0;688155.0;841543.0;1025940.0;1121981.0;1253281.0;76473.0;190946.0;331755.0;457984.0;630341.0;779410.0;899316.0;1042482.0;1139197.0;50357.0;107903.0;191733.0;273447.0;333178.0;435339.0;496866.0;589290.0;727331.0;869844.0;1018146.0;1149315.0;25050.0;76951.0;140313.0;246132.0;396011.0;558960.0;625419.0;785533.0;969351.0;1118988.0;null;1347813.0;14036.0;84112.0;158722.0;228456.0;342654.0;431428.0;494386.0;612228.0;742007.0;905765.0;1034225.0;1120671.0;13434.0;55109.0;126056.0;201303.0;312936.0;378849.0;515559.0;637390.0;774976.0;921184.0;1026701.0;1116000.0;8921.0;29565.0;80713.0;138631.0;237118.0;300581.0;412542.0;538865.0;649464.0;757613.0;836341.0;909750.0;3854.0;18462.0;41237.0;135436.0;195241.0
CEPHALOPODES;36120.0;38221.0;22999.0;24080.0;25467.0;7660.0;576945.0;13992.0;15936.0;17223.0;19623.0;24694.0;25926.0;28772.0;32445.0;2936.0;5320.0;7477.0;8706.0;11580.0;15893.0;19978.0;22493.0;23362.0;24105.0;29990.0;39589.0;5645.0;10044.0;15708.0;17842.0;19246.0;25631.0;30099.0;31293.0;32209.0;32678.0;39835.0;46056.0;3128.0;4765.0;7157.0;8903.0;10371.0;16217.0;19497.0;22702.0;23493.0;23835.0;27789.0;37602.0;3484.0;9422.0;13427.0;15028.0;17362.0;24480.0;27101.0;31125.0;31501.0;32303.0;33270.0;47290.0;;9541.0;13518.0;16076.0;18903.0;24762.0;28768.0;33203.0;33674.0;34759.0;36456.0;45859.0;8637.0;13031.0;17537.0;;22729.0;26188.0;32072.0;35745.0;36437.0;37470.0;38232.0;46491.0;5205.0;10870.0;15 513;18 090;20448.0;21408.0;32661.0;35966.0;36639.0;37200.0;38354.0;20567.0;23 188;;31207.0;36224.0;38982.0;42693.0;44497.0;46050.0;48299.0;11747.0;21267.0;26368.0;28724.0;41698.0;47333.0;49083.0;51117.0;53814.0;11863.0;17211.0;24430.0;30572.0;34136.0;40337.0;44453.0;52353.0;56095.0;57964.0;60794.0;68925.0;12851.0;20757.0;27988.0;31715.0;35540.0;37257.0;41486.0;48171.0;50933.0;52976.0;null;60461.0;8062.0;15366.0;19543.0;23175.0;28143.0;30527.0;38508.0;46000.0;48984.0;50453.0;52756.0;55307.0;11862.0;17925.0;23913.0;27025.0;29893.0;32141.0;43985.0;50729.0;55482.0;56784.0;58797.0;60893.0;13266.0;19714.0;25073.0;25991.0;28041.0;28956.0;36986.0;43327.0;46229.0;47469.0;48785.0;49876.0;13946.0;20284.0;25841.0;27118.0;30837.0
POISSON BLANC;79639.0;84954.0;57304.0;63893.0;72354.0;11507.0;292068.0;23873.0;29208.0;34416.0;39359.0;51983.0;59141.0;62458.0;70014.0;6510.0;10755.0;16294.0;20759.0;26637.0;32648.0;47679.0;52264.0;58294.0;61925.0;66791.0;74189.0;6093.0;12079.0;19954.0;25338.0;30946.0;37352.0;45371.0;50277.0;55685.0;58342.0;64390.0;71982.0;6535.0;12379.0;17624.0;23615.0;29682.0;37602.0;44903.0;51448.0;58078.0;62570.0;69103.0;78539.0;7144.0;13913.0;20829.0;26688.0;32265.0;41496.0;48171.0;56907.0;60539.0;67582.0;75258.0;83899.0;;14384.0;22635.0;28570.0;35231.0;43234.0;48922.0;57267.0;59602.0;66780.0;73335.0;80048.0;6915.0;13798.0;19806.0;;31445.0;36774.0;44481.0;50023.0;52864.0;59165.0;63408.0;68563.0;6580.0;11966.0;17 611;21 960;27764.0;31789.0;40922.0;46545.0;52574.0;57791.0;63786.0;18120.0;22 956;;32423.0;38392.0;41243.0;47261.0;53470.0;60373.0;69290.0;11511.0;27271.0;34637.0;40257.0;48992.0;55563.0;61887.0;68754.0;75487.0;6082.0;12799.0;21405.0;28947.0;32743.0;39248.0;42287.0;49185.0;60015.0;70485.0;79202.0;86184.0;8221.0;14107.0;21081.0;26816.0;33326.0;39264.0;42128.0;47477.0;55590.0;63510.0;null;83081.0;6524.0;14708.0;25738.0;30517.0;38674.0;45963.0;49967.0;64572.0;80961.0;102678.0;112704.0;120672.0;7332.0;14726.0;25455.0;33751.0;41692.0;48926.0;55610.0;66753.0;82317.0;97585.0;119550.0;128735.0;7708.0;16878.0;28687.0;38510.0;51392.0;55843.0;63064.0;76680.0;91291.0;110920.0;129089.0;137569.0;5153.0;14552.0;20167.0;28993.0;33115.0
COQUILLAGES;648.0;1064.0;1043.0;1321.0;1591.0;567.0;3536.0;727.0;737.0;749.0;781.0;937.0;1421.0;1463.0;1523.0;17.0;77.0;207.0;695.0;777.0;819.0;822.0;822.0;866.0;878.0;890.0;901.0;331.0;336.0;344.0;381.0;386.0;388.0;430.0;456.0;502.0;519.0;515.0;567.0;9.0;23.0;272.0;493.0;580.0;587.0;683.0;769.0;916.0;1001.0;1065.0;1074.0;5.0;12.0;344.0;348.0;352.0;550.0;601.0;602.0;603.0;675.0;752.0;829.0;;8.0;112.0;125.0;134.0;136.0;140.0;17614.0;416.0;505.0;516.0;522.0;212.0;539.0;521.0;;551.0;556.0;998.0;575.0;618.0;795.0;950.0;964.0;7.0;22.0;41.0;71.0;94.0;232.0;451.0;546.0;625.0;694.0;869.0;107.0;156.0;;241.0;355.0;393.0;577.0;803.0;942.0;1210.0;72.0;460.0;616.0;647.0;712.0;924.0;1138.0;1403.0;1658.0;8.0;28.0;57.0;119.0;200.0;433.0;529.0;603.0;795.0;855.0;937.0;1040.0;4.0;13.0;31.0;73.0;156.0;219.0;238.0;257.0;378.0;913.0;null;1232.0;15.0;17.0;46.0;84.0;91.0;133.0;158.0;197.0;423.0;726.0;1116.0;1159.0;8.0;12.0;15.0;17.0;21.0;24.0;30.0;40.0;45.0;56.0;57.0;102.0;10.0;33.0;44.0;46.0;47.0;77.0;117.0;560.0;599.0;811.0;943.0;956.0;5.0;19.0;19.0;26.0;30.0
CRUSTACES;5501.0;4883.0;3292.0;3775.0;4575.0;1677.0;69633.0;3443.0;4164.0;4739.0;5321.0;6482.0;7210.0;7599.0;8449.0;926.0;1744.0;2791.0;3483.0;4323.0;5040.0;5606.0;6130.0;6905.0;7221.0;7544.0;8019.0;558.0;1150.0;1882.0;2573.0;3354.0;3939.0;4654.0;5166.0;5834.0;6076.0;6624.0;7241.0;408.0;925.0;1647.0;2376.0;3070.0;4026.0;4745.0;5361.0;6087.0;6435.0;6886.0;7380.0;372.0;870.0;1317.0;1812.0;2360.0;3182.0;3486.0;3965.0;4251.0;4700.0;5192.0;5716.0;;933.0;1574.0;2074.0;2740.0;3379.0;3446.0;3929.0;4158.0;4692.0;5095.0;5486.0;375.0;794.0;1585.0;;2435.0;2706.0;2649.0;3443.0;3703.0;4208.0;4418.0;4766.0;286.0;552.0;1 143;1 513;2169.0;2567.0;3004.0;3290.0;3654.0;3968.0;4515.0;1162.0;1 566;;2375.0;2679.0;2845.0;3224.0;3570.0;3933.0;4340.0;345.0;939.0;1312.0;1583.0;2052.0;2379.0;2771.0;3275.0;3927.0;439.0;894.0;1451.0;2039.0;2624.0;3129.0;3395.0;3821.0;4449.0;4940.0;5919.0;6761.0;586.0;1186.0;1840.0;2569.0;3435.0;4117.0;4359.0;4953.0;5555.0;5918.0;null;6832.0;673.0;1480.0;2563.0;3189.0;4466.0;5178.0;5568.0;6109.0;6692.0;7180.0;7903.0;8664.0;621.0;1079.0;1799.0;2406.0;3327.0;3863.0;4559.0;5283.0;6008.0;6631.0;7365.0;8126.0;535.0;1087.0;1578.0;2222.0;3104.0;3580.0;4177.0;4772.0;5467.0;6221.0;6912.0;7640.0;497.0;1059.0;1718.0;2498.0;3137.0
ALGUES;943190.0;1067271.0;16801.0;16869.0;;71.0;498.0;268.0;276.0;380.0;5720.0;;20472.0;20673.0;20705.0;50.0;102.0;151.0;444.0;590.0;1537.0;3260.0;10162.0;16764.0;16864.0;16864.0;18394.0;91.0;763.0;787.0;1253.0;1865.0;2649.0;5166.0;14138.0;16982.0;17152.0;20093.0;21920.0;150.0;430.0;943.0;1063.0;1826.0;3550.0;24721.0;6055.0;6221.0;6248.0;6841.0;9600.0;473.0;1933.0;2307.0;2709.0;2709.0;2799.0;8622.0;11478.0;15233.0;15630.0;18070.0;18870.0;;3347.0;3701.0;4929.0;5430.0;6112.0;5868.0;94.0;22334.0;23454.0;24300.0;25291.0;345.0;470.0;957.0;;3313.0;4428.0;5073.0;5199.0;5199.0;5214.0;13889.0;24672.0;1070.0;1665.0;1 882;2 690;3262.0;3341.0;3763.0;3946.0;4870.0;8590.0;14411.0;8739.0;9 194;;10588.0;10965.0;11599.0;11601.0;12177.0;14566.0;17345.0;4434.0;8847.0;16651.0;18046.0;19210.0;19564.0;20072.0;21233.0;22443.0;3690.0;6496.0;7429.0;8285.0;11165.0;12955.0;13331.0;14058.0;17302.0;18991.0;20022.0;20512.0;630.0;2022.0;2710.0;3057.0;4536.0;5424.0;6295.0;7193.0;8163.0;8817.0;null;11849.0;891.0;1721.0;4091.0;5740.0;8189.0;9649.0;11323.0;24889.0;34951.0;41528.0;43249.0;43717.0;1549.0;3375.0;4042.0;4431.0;4974.0;5914.0;5932.0;6001.0;17527.0;20409.0;21186.0;22234.0;0.0;383.0;781.0;1292.0;1848.0;2316.0;6880.0;18467.0;21692.0;25143.0;26278.0;27010.0;695.0;777.0;913.0;1759.0;2057.0
ECHINODERMES-OURSINS;;;;;;32.0;480.0;48.0;48.0;48.0;48.0;;48.0;58.0;74.0;23.0;50.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;74.0;82.0;82.0;;;;;;;;;;;;;;;;;;;;;;;;27.0;32.0;63.0;86.0;89.0;89.0;89.0;89.0;89.0;89.0;89.0;89.0;112.0;;63.0;94.0;94.0;94.0;94.0;94.0;922303.0;94.0;94.0;94.0;94.0;14.0;24.0;35.0;;35.0;35.0;35.0;35.0;36.0;36.0;36.0;36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL GENERAL;943190.0;1067271.0;823285.0;955836.0;;119796.0;167315.0;219282.0;249002.0;314281.0;391554.0;603161.0;745939.0;817585.0;914940.0;75904.0;116103.0;188496.0;267515.0;379117.0;466469.0;561683.0;649554.0;805931.0;899508.0;999740.0;1120937.0;72861.0;157109.0;250087.0;325248.0;403916.0;503360.0;643567.0;758847.0;895565.0;948027.0;1058253.0;1181658.0;71674.0;140440.0;216616.0;334460.0;431463.0;553389.0;646323.0;759874.0;911063.0;1025119.0;1167257.0;1287237.0;68891.0;138535.0;224450.0;283780.0;394994.0;544127.0;630996.0;792315.0;888953.0;1036628.0;1154377.0;1288952.0;140000.0;208480.0;302793.0;412611.0;545096.0;660704.0;750703.0;922303.0;988241.0;1153381.0;1289331.0;1383215.0;85620.0;168387.0;247992.0;387000.0;516590.0;596619.0;742299.0;834613.0;931680.0;1087598.0;1219130.0;1310494.0;79719.0;145180.0;236877.0;335356.0;449115.0;530963.0;736265.0;884019.0;1068702.0;1177690.0;1311164.0;281017.0;386246.0;null;590230.0;724350.0;783217.0;946899.0;1140457.0;1247845.0;1395600.0;104582.0;249730.0;411340.0;547240.0;743004.0;905171.0;1034266.0;1188264.0;1296527.0;72439.0;145332.0;246507.0;343410.0;414046.0;531441.0;600862.0;709310.0;865987.0;1023081.0;1185020.0;1332772.0;47305.0;115029.0;193955.0;310363.0;473004.0;645241.0;719925.0;893585.0;1089969.0;1251122.0;null;1511267.0;30201.0;117405.0;210703.0;291162.0;422218.0;522879.0;599909.0;753996.0;914017.0;1108330.0;1251954.0;1350190.0;34805.0;92226.0;181280.0;268932.0;392844.0;469717.0;625674.0;766196.0;936354.0;1102649.0;1233655.0;1336090.0;30441.0;67661.0;136876.0;206691.0;321550.0;391353.0;523765.0;682672.0;814742.0;948177.0;1048347.0;1132801.0;24151.0;55153.0;89895.0;195828.0;264418.0
