;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Ensemble de la pêche;1969.0;2052.0;2143.0;2351.0;2386.0;2578.0;2784.0;2914.0;2985.0;3026.0;3068.0;3051.0;2983.0;2961.0;2978.0;2984.0;2970.0;2957.0;2920.0;2917.0;2942.0;2970.0;2987.0;2993.0;3013.0;3016.0;3020.0;3014.0;3009.0;2949.0;2959.0;2960.0;2963.0;2976.0;2993.0;2981.0;2994.0;2963.0;2 977;2 978;2 980
Ensemble de la pêche côtière;1741.0;1828.0;1908.0;2098.0;2111.0;2231.0;2377.0;2462.0;2521.0;2564.0;2609.0;2597.0;2542.0;2506.0;2524.0;2534.0;2524.0;2511.0;2474.0;2470.0;2495.0;2522.0;2539.0;2544.0;2562.0;2565.0;2570.0;2562.0;2525.0;2505.0;2514.0;2500.0;2509.0;2522.0;2 536;2 524;2 528;2 498;2 509;2 510;2 510
Ensemble de la pêche hauturière;228.0;224.0;235.0;253.0;275.0;347.0;407.0;452.0;464.0;462.0;459.0;454.0;441.0;455.0;454.0;450.0;446.0;446.0;446.0;447.0;447.0;448.0;448.0;449.0;451.0;451.0;450.0;452.0;484.0;444.0;445.0;460.0;454.0;454.0;457.0;457.0;466.0;465.0;468.0;468.0;470.0
