;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Pêche côtière;295.1;386.6;414.0;471.3;555.4;671.6;781.7;823.0;955.8;1015.6;1147.5;1334.9;1420.3;1342.2;1487.1;1660.7;1546.9;1755.5;1680.0;1817.9;2077.8;2545.4;3470.1;2995.17;3042.8;3403.75;3546.09;3493.99;4273.21;4033.62;3967.27;4678.05;4751.33;4799.1;5390.8;6528.0;6753.3;7194.8;7290.529;7282.19;6636.33;9031.61;9664.01938;9844.0
Pêche hauturière;225.8;448.5;567.4;773.2;1136.4;1326.1;1606.9;1561.3;2066.2;1908.7;2332.4;2722.4;2630.6;3096.0;3252.0;3842.0;3292.0;2917.0;2941.2;2888.3;4530.1;3961.4;2295.4;1442.01;1264.81;3037.15;2721.59;2515.74;3674.5;2718.26;2399.7;2989.57;2745.01;3518.81;3931.5;4065.5;4708.3;4592.356;3949.736;4023.21;4157.63;5682.27;3654.249;4830.0
Pêche maritime nationale;521.0;835.0;981.0;1245.0;1692.0;1998.0;2389.0;2384.0;3022.0;2924.0;3480.0;4057.0;4051.0;4438.0;4739.0;5503.0;4839.0;4866.0;4807.0;4884.0;6877.0;6881.0;6003.0;4686.65;4515.68;6756.25;6580.92;6454.56;8418.0;7163.94;6658.91;7958.67;7825.69;8674.69;9600.1;10817.1;11743.5;12101.8;11580.702;11699.7;11281.0;15063.9;13719.0;15244.0
