;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
POISSON PELAGIQUE;1687182.0;1757189.0;1916162.0;1700318.0;1979382.0;2434709.0;2601953.0;2714887.0;2830902.0;2897586.0;3032887.0;3208213.0;2965991.0;3138892.0;3894568.0
CEPHALOPODES;1445394.0;1104275.0;912169.0;1813087.0;1607223.0;1429093.0;1730584.0;2107343.0;2214955.0;2680598.0;1328289.0;1343490.0;1181795.0;1372798.0;1478326.0
POISSON BLANC;1132269.0;1186770.0;1131327.0;1179887.0;1224240.0;1266581.0;1401722.0;1432823.0;1417071.0;1332684.0;2664645.0;2439730.0;2269699.0;4202642.0;3915654.0
COQUILLAGES;2120.0;3542.0;6723.0;7621.0;4957.0;2749.0;5267.0;4307.0;3220.0;5393.0;257798.0;279751.0;205737.0;307502.0;364985.0
CRUSTACES;211571.0;204397.0;216444.0;274834.0;265000.0;286440.0;273408.0;261684.0;287134.0;278579.0;6909.0;11004.0;13105.0;10345.0;10487.0
ALGUES;;;;52488.0;60002.0;66777.0;24050.0;64319.0;91605.0;90250.0;56932.0;60016.0;85049.0;78681.0;41151.0
ECHINODERMES-OURSINS;;;;752.0;739.0;;235.0;937.0;818.0;329.0;;;;;
TOTAL GENERAL;4478536.0;4256172.0;4225388.0;5028986.0;5141542.0;5486351.0;6037219.0;6586298.0;6845704.0;7285419.0;7347461.0;7342204.0;6721375.0;9108909.0;9705171.0
