Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Prix moyens payés aux producteurs des produits agricoles,
frequence,Année à cheval,
Scenario ,Reel,
Source ,Ministère de l'Agriculture et des Pêches Maritimes,MAPM
Période disponible ,2015/2016 - 2023/2024,
Date de dernière mise à jour ,2025-04-22 15:20:24.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Prix moyens payés aux producteurs des produits agricoles,
Unité,Dirham/Kg,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
