;80/81;81/82;82/83;83/84;84/85;85/86;86/87;87/88;88/89;89/90;90/91;91/92;92/93;93/94;94/95;95/96;96/97;97/98;98/99;99/2000;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
Céréales;4382.4;4280.5;4703.0;4477.6;4779.2;5165.7;5055.8;5301.6;5513.1;5593.0;5490.8;5012.5;5020.0;6073.6;3985.6;5981.1;4905.8;5896.9;5163.8;5435.8;5138.4;4941.7;5554.2;5679.5;5451.8;5583.9;4845.1;5309.3;5435.4;5056.2;5375.9;5216.8;5391.3;4763.4;5457.7;3795.4;5559.85;4659.0;3645.07;4436.91;4475.5;3776.14;3783.75;2706.32
    Blé dur;1165.6;1106.7;1285.9;1122.5;1115.5;1191.8;1110.2;1104.6;1169.8;1249.6;1244.8;1088.3;1133.7;1335.8;820.2;1248.9;972.1;1126.7;1077.8;1079.1;976.7;881.7;1092.9;1110.5;1059.1;1069.0;843.1;928.3;968.6;901.1;957.2;963.4;944.9;904.8;998.54;837.8;1087.81;996.64;818.66;993.28;962.23;834.35;831.21;581.69
    Blé tendre;481.4;579.1;689.8;733.3;777.8;1034.4;1178.2;1211.8;1459.7;1469.6;1396.5;1140.0;1176.7;1713.9;1147.7;1963.5;1520.8;1959.8;1613.8;1822.5;1723.9;1744.7;1896.0;1953.2;1906.7;2037.7;1728.8;1929.8;2009.0;1951.3;2131.0;2179.4;2259.3;2081.4;2275.33;1575.8;2296.42;1891.46;1687.31;1852.01;1876.66;1601.97;1603.01;1176.77
    Orge;2228.1;2046.5;2150.8;2126.0;2382.6;2471.8;2314.5;2499.2;2398.9;2414.9;2356.9;2232.9;2150.8;2582.4;1578.5;2430.3;1996.0;2426.0;2069.8;2250.9;2126.0;2002.4;2266.5;2324.1;2179.8;2188.7;1993.4;2181.3;2182.8;1919.6;2025.9;1893.1;1967.1;1585.2;2000.16;1207.6;2001.47;1598.68;1050.13;1495.19;1461.4;1137.33;1239.81;693.74
Légumineuses;303.9;294.8;411.4;443.5;512.0;501.4;529.6;482.8;489.4;502.4;445.1;450.2;322.3;346.9;316.1;312.3;362.4;382.0;334.2;319.8;313.7;380.5;359.0;365.0;350.9;371.8;371.1;368.5;376.1;398.2;429.1;397.5;400.5;377.1;418.0;283.1;283.5;330.3;310.3;271.9;261.2;223.6;204.744;
Cultures Oléagineuses;46.7;49.5;42.9;54.3;58.7;69.1;109.1;141.8;136.2;185.0;155.4;219.3;251.1;97.7;71.8;108.9;135.3;129.1;104.2;58.1;78.1;70.2;125.0;84.2;71.5;49.4;58.3;47.9;67.2;86.1;55.6;28.6;33.9;37.7;51.6;54.5;33.8;35.3;48.5;42.3;37.1;37.4;37.7;
Cultures Sucrières;75.5;81.5;97.9;85.8;96.9;91.2;112.8;126.3;125.5;131.4;144.3;157.2;147.6;147.0;157.0;153.8;163.0;169.7;165.5;154.1;186.6;181.2;233.8;218.0;190.4;170.6;167.6;168.5;138.1;145.0;194.2;150.4;151.2;60.9;69.4;70.2;68.4;62.7;68.5;69.4;54.7;48.1;38.1;
Maraîchage;;;;;;;;;19.5;16.3;201.0;224.8;175.2;235.3;175.2;235.0;238.5;228.5;232.4;224.1;237.9;225.9;257.4;269.0;250.5;299.1;261.0;249.2;261.5;250.3;257.3;255.2;252.5;456.2;264.1;236.2;253.4;262.0;240.0;258.1;233.1;227.5;252.8;
    Culture de primeurs;;;;;;;;;19.5;16.3;21.0;21.2;18.4;19.3;20.2;19.0;20.5;19.5;22.5;23.0;24.1;24.5;25.5;27.5;28.5;29.5;30.0;32.0;31.6;29.6;35.7;26.6;30.1;35.2;34.4;28.8;34.1;40.7;42.5;31.3;29.4;;;
    Culture de saison;;;;;;;;;;;180.0;186.3;180.0;0.0;155.0;216.0;218.0;209.0;209.9;201.1;213.8;201.4;231.9;241.5;222.0;235.0;214.0;217.2;229.9;220.8;214.3;222.5;216.4;220.3;227.1;205.8;216.2;220.3;194.6;225.6;203.1;;;
Plantations fruitières;;;;;;;;;2.4;2.3;2.5;4.2;4.2;4.2;4.2;4.0;5.3;4.9;6.6;6.8;9.9;11.6;11.9;14.1;15.3;17.4;16.5;18.3;17.8;16.6;18.7;13.7;14.6;15.1;11.7;;;383.1;389.2;;681.8;689.1;695.8;
