Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Rendement des principales cultures agricoles (détail),
frequence,Année à cheval,
Scenario ,Reel,
Source ,Ministère de l'Agriculture et des Pêches Maritimes,MAPM
Période disponible ,88/89 - 2020/2021,
Date de dernière mise à jour ,2023-05-15 12:38:29.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Rendement des cultures,
Unité,quintaux/Hectare,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
Région/Province,Total des régions,
