;79/80;80/81;81/82;82/83;83/84;84/85;85/86;86/87;87/88;88/89;89/90;90/91;91/92;92/93;93/94;94/95;95/96;96/97;97/98;98/99;99/2000;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
Cultures Oléagineuses;402.1;265.2;470.2;473.4;544.3;530.9;682.2;1382.0;2185.2;1197.3;1733.5;1074.8;1808.8;789.4;909.0;254.5;1296.2;1151.7;1067.2;848.8;574.2;776.5;737.2;1117.4;1007.4;651.8;529.0;839.57;746.8;1034.4;1099.88;890.0;557.0;582.0;662.0;872.0;675.0;605.0;706.0;790.0;689.0;707.5;584.7;;
    Arachides;348.4;178.2;407.4;315.8;353.9;290.4;249.6;346.0;650.1;233.2;147.6;204.8;348.4;343.8;300.7;142.4;186.1;446.0;450.8;424.3;388.2;445.5;403.4;211.1;515.2;470.0;446.0;496.07;410.1;516.86;654.52;364.0;357.0;322.0;397.0;367.0;368.0;0.0;0.0;0.0;0.0;367.9;277.6;;
    Tournesol;53.7;87.0;62.8;157.6;190.4;240.5;432.6;1036.0;1535.1;964.1;1585.9;870.0;1460.4;445.6;608.3;112.1;1110.1;705.7;616.4;424.5;186.0;331.0;333.8;906.3;492.2;181.8;83.0;322.4;323.1;502.48;593.44;481.0;177.0;190.0;274.0;524.0;302.0;238.0;376.0;295.0;224.0;246.0;304.3;;
Cultures Sucrières;25642.5;27287.7;28253.0;33234.8;33004.7;29646.3;34170.8;35983.9;40845.0;38618.1;40026.7;40638.9;37478.4;41082.5;40693.3;37487.2;36487.0;33555.8;41057.9;46057.5;42018.0;41599.3;39359.3;43271.3;40621.9;40885.4;35486.0;34178.8;38383.0;35664.1;30681.92;37991.0;21677.0;26832.0;34951.0;42710.0;46454.0;42945.0;43266.0;42118.0;44241.0;31872.5;24699.3;;
    Betterave à sucre;21890.9;21072.5;23153.5;25885.6;25254.4;22445.6;26248.4;27503.1;29901.8;28770.3;29835.9;30361.7;27540.7;31623.2;31438.9;27174.0;27495.9;26128.4;28226.7;32363.8;28834.0;28359.3;29868.5;34285.1;31900.1;33015.4;25520.0;24840.3;29257.0;27533.7;24359.12;30351.0;16267.0;21422.0;32086.0;38756.0;42189.0;37414.0;37105.0;36929.0;36316.0;25739.9;18980.4;;
    Canne à sucre;3751.6;6215.2;5099.5;7349.2;7750.3;7200.7;7922.4;8480.8;10943.2;9847.8;10190.8;10277.2;9937.7;9459.3;9254.4;10313.2;8991.1;7427.4;12831.2;13693.7;13184.0;13240.0;9490.8;8986.2;8721.8;7870.0;9966.0;9338.5;9126.0;8130.4;6322.8;7639.0;5410.0;5410.0;2865.0;3953.0;4265.0;5531.0;6161.0;5190.0;7925.0;6132.5;5718.9;;
Maraîchage;;;23553.0;24278.0;21386.0;24484.0;32814.0;32446.0;31950.0;34393.0;36696.0;37071.0;33885.0;32700.0;39618.0;33022.0;46320.0;45380.0;46153.0;46075.0;42608.0;46178.0;52918.0;59450.0;66980.0;62320.0;69650.0;66700.0;59570.0;73303.0;73020.0;null;null;null;null;null;null;null;null;null;71245.0;73045.0;;;
    Culture de primeurs;;;3768.0;3240.0;3646.0;4164.0;4279.0;3600.0;4000.0;5200.0;4838.0;5450.0;5555.0;5100.0;6478.0;7370.0;7450.0;7750.0;8550.0;9880.0;10148.0;9104.0;11049.0;11200.0;13530.0;12970.0;14450.0;15800.0;9750.0;19100.0;17120.0;18230.0;17690.0;19540.0;19472.0;19285.0;17336.0;19285.0;21487.0;21326.0;19057.0;17705.0;;;
        Tomates. primeurs;;;2508.0;2000.0;2377.0;2494.0;2515.0;2289.0;2560.0;3072.0;2950.0;3025.0;3252.0;3228.0;3752.0;4530.0;4840.0;4900.0;5400.0;5560.0;5500.0;4460.0;5650.0;5370.0;6600.0;6270.0;6960.0;7850.0;8100.0;8380.0;8720.0;9434.0;8956.0;9124.0;8609.0;10208.0;9598.0;9810.0;10281.0;11102.0;11338.0;10321.0;;;
        Pommes de terre. primeurs;;;990.0;950.0;919.0;1276.0;1287.0;862.0;980.0;1586.0;1325.0;1875.0;1554.0;950.0;1485.0;1400.0;1240.0;1270.0;1350.0;1950.0;1900.0;1400.0;1300.0;1580.0;1550.0;1300.0;1330.0;1560.0;1650.0;1595.0;1630.0;2934.0;1355.0;3567.0;1842.0;2223.0;1924.0;2212.0;2237.0;2265.0;1239.0;1951.0;;;
        Autres cultures de primeurs;;;270.0;290.0;350.0;394.0;477.0;450.0;460.0;542.0;563.0;550.0;749.0;922.0;1241.0;1440.0;1370.0;1580.0;1800.0;2370.0;2748.0;3244.0;4099.0;4250.0;5380.0;5400.0;6160.0;6390.0;0.0;9126.0;6770.0;5862.0;7380.0;6849.0;9021.0;6853.0;5813.0;7263.0;8969.0;7959.0;6480.0;5433.0;;;
    Culture de saison;;;19785.0;21038.0;17740.0;20320.0;28535.0;28846.0;27950.0;29193.0;31858.0;31621.0;28330.0;27600.0;33140.0;25652.0;38870.0;37630.0;37603.0;36195.0;32460.0;37074.0;41869.0;48250.0;53450.0;49350.0;55200.0;50900.0;49820.0;54203.0;55900.0;54443.0;58998.0;58742.0;57000.0;57795.0;52156.0;54705.0;56828.0;50735.0;52188.0;55341.0;;;
        Tomates. saison;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3014.0;2140.0;2023.0;2404.0;2999.0;3054.0;3186.0;12454.0;2650.0;2997.0;2530.0;4057.0;2678.0;2769.0;3003.0;2948.0;3142.0;2371.0;2427.0;3023.0;2369.0;2052.0;2039.0;;;
        Pommes de terre. saison;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9458.0;9004.0;10146.0;12044.0;12732.0;13253.0;13485.0;15691.0;12810.0;13716.0;14699.0;14417.0;14280.0;15214.0;15719.0;17668.0;16998.0;15717.0;17037.0;16454.0;16379.0;15832.0;14468.0;;;
        Autres cultures de saison;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23723.0;21316.0;24905.0;27421.0;32519.0;37143.0;32679.0;27055.0;35440.0;33107.0;36974.0;37426.0;37485.0;41014.0;40020.0;36385.0;37655.0;34068.0;35240.0;37351.0;31988.0;34304.0;38834.0;;;
Plantations fruitières;;;;;;;;;;;;;;;2199.0;1704.0;2551.0;2113.0;2641.0;2206.0;2206.0;1983.0;1940.0;2609.0;2048.0;2347.0;8434.0;2447.0;2439.0;2760.0;3646.0;3751.0;3745.0;3285.0;4362.0;3647.71;;;;;;;;;
    Agrumes;;;;;;;;;;;;;;;500.0;436.0;908.0;518.0;650.0;476.0;476.0;699.0;455.0;830.0;497.0;571.0;6312.0;750.0;765.0;850.0;1484.0;1416.0;1316.0;1182.0;1573.0;1144.27;;;;;;;;;
    Amandier;;;;;;;;;;;;;;;31.0;46.0;34.0;87.0;53.0;81.0;81.0;82.0;82.0;71.0;60.0;71.0;83.0;13.0;17.0;25.0;102.0;130.0;99.0;97.0;101.0;93.3;;;;;;;;;
    Olivier;;;;;;;;;;;;;;;1324.0;997.0;1400.0;1194.0;1591.0;1303.0;1303.0;979.0;1142.0;1315.0;1138.0;1320.0;1630.0;1285.0;1238.0;1500.0;1624.0;1712.0;1875.0;1463.0;2227.0;1896.8;;;;;;;;;
    Palmier dattier;;;;;;;;;;;;;;;282.0;128.0;129.0;204.0;262.0;274.0;274.0;192.0;227.0;340.0;284.0;337.0;363.0;324.0;346.0;288.0;316.0;376.0;342.0;436.0;359.0;418.37;;;;;;;;;
    Vigne;;;;;;;;;;;;;;;62.0;98.0;80.0;110.0;85.0;73.0;73.0;32.0;33.0;54.0;69.0;48.0;45.0;74.0;73.0;97.0;120.0;118.0;113.0;108.0;102.0;94.97;;;;;;;;;
