Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Production des principales cultures agricoles (détail),
frequence,Année à cheval,
Scenario ,Reel,
Source ,Ministère de l'Agriculture et des Pêches Maritimes,MAPM
Période disponible ,81/82 - 2022/2023,
Date de dernière mise à jour ,2023-12-15 10:50:18.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Productions des cultures,
Unité,quintaux,Qx
Echelle ,Mille,
Axes Fixes ,Valeurs prises ,
Région/Province,Total des régions,
