;80/81;81/82;82/83;83/84;84/85;85/86;86/87;87/88;88/89;89/90;90/91;91/92;92/93;93/94;94/95;95/96;96/97;97/98;98/99;99/2000;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
    Autres légumineuses;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.6;52.6;49.0;35.7;51.1;43.5;35.6;37.4;34.3;33.5;26.0;27.2;34.4;30.9;32.5;27.0;27.8;30.0;33.8;27.0;28.7;22.4;53.4;25.2;24.1;48.6;41.5;27.4;25.4;17.7;27.2;10.5;;;
Cultures Oléagineuses;46.7;49.5;42.9;54.3;58.7;69.1;109.1;141.8;136.2;185.0;155.4;219.3;251.1;97.7;71.8;108.9;135.3;129.1;104.2;58.1;78.1;70.2;125.0;84.2;71.5;49.4;58.3;47.9;67.2;86.1;55.6;28.6;33.9;37.7;51.6;54.5;33.8;35.3;48.5;42.3;37.1;37.4;37.7;
    Arachides;31.8;36.7;23.3;25.0;24.0;20.6;20.6;33.6;23.8;24.2;17.7;23.0;21.3;30.0;8.6;13.2;35.9;27.6;25.4;18.2;21.7;20.4;21.5;21.6;19.5;14.9;19.7;20.8;22.7;22.9;17.8;15.5;16.3;16.1;13.9;15.3;14.1;12.9;15.3;14.0;13.4;;;
    Tournesol;14.9;12.8;19.6;29.3;34.7;48.5;88.5;108.2;112.4;160.8;137.7;196.3;229.8;67.7;63.2;95.7;99.4;101.5;78.8;39.9;56.4;49.8;103.5;62.6;52.0;32.6;36.1;25.5;43.0;62.0;36.5;11.7;17.0;20.9;36.9;37.9;18.9;21.7;22.2;18.5;16.3;;;
Cultures Sucrières;75.5;81.5;97.9;85.8;96.9;91.2;112.8;126.3;125.5;131.4;144.3;157.2;147.6;147.0;157.0;153.8;163.0;169.7;165.5;154.1;186.6;181.2;233.8;218.0;190.4;170.6;167.6;168.5;138.1;145.0;194.2;150.4;151.2;60.9;69.4;70.2;68.4;62.7;68.5;69.4;54.7;48.1;38.1;
    Betterave à sucre;56.9;57.0;66.3;53.1;56.3;55.2;60.7;61.3;63.1;64.3;69.2;62.0;68.0;63.6;67.9;56.7;62.9;49.8;64.2;55.1;54.1;59.7;67.1;60.5;71.2;50.3;50.6;57.5;57.1;51.1;51.7;31.1;37.2;53.0;60.9;59.8;57.8;54.0;57.2;57.6;45.2;;;
    Canne à sucre;7.2;7.6;9.4;11.3;12.8;12.4;13.0;15.0;15.2;15.0;14.8;18.1;18.1;16.2;17.6;14.3;11.1;22.7;21.9;17.4;17.9;17.3;15.0;17.7;12.7;16.5;19.2;16.9;14.8;22.9;15.0;15.7;15.5;7.9;8.5;10.4;10.6;8.7;11.3;11.8;9.5;;;
Maraîchage;;;;;;;;;19.5;16.3;201.0;224.8;175.2;235.3;175.2;235.0;238.5;228.5;232.4;224.1;237.9;225.9;257.4;269.0;250.5;299.1;261.0;249.2;261.5;250.3;257.3;255.2;252.5;456.2;264.1;236.2;253.4;262.0;240.0;258.1;233.1;227.5;252.8;
    Culture de primeurs;;;;;;;;;19.5;16.3;21.0;21.2;18.4;19.3;20.2;19.0;20.5;19.5;22.5;23.0;24.1;24.5;25.5;27.5;28.5;29.5;30.0;32.0;31.6;29.6;35.7;26.6;30.1;35.2;34.4;28.8;34.1;40.7;42.5;31.3;29.4;;;
        Tomates. primeurs;;;;;;;;;6.5;5.7;6.0;6.3;5.5;5.7;5.5;5.5;5.2;5.1;5.4;5.7;4.7;5.9;5.7;5.9;6.1;6.0;6.5;6.2;6.2;6.8;6.7;6.8;6.3;6.7;8.5;7.5;8.0;7.7;8.5;8.5;8.6;;;
        Pommes de terre. primeurs;;;;;;;;;10.6;8.3;12.5;11.7;9.5;9.4;10.5;9.5;10.0;9.5;10.5;10.5;9.5;7.0;8.0;7.5;7.1;6.1;7.0;7.5;7.5;6.2;10.3;6.0;7.4;8.3;8.0;7.9;9.1;7.9;7.5;5.4;5.9;;;
    Culture de saison;;;;;;;;;;;180.0;186.3;180.0;0.0;155.0;216.0;218.0;209.0;209.9;201.1;213.8;201.4;231.9;241.5;222.0;235.0;214.0;217.2;229.9;220.8;214.3;222.5;216.4;220.3;227.1;205.8;216.2;220.3;194.6;225.6;203.1;;;
        Tomates. saison;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.2;14.7;7.7;8.8;9.8;10.7;10.3;20.8;8.0;8.7;9.6;11.4;8.6;8.0;6.7;8.2;8.4;7.8;7.0;7.3;6.3;5.6;4.4;;;
        Pommes de terre. saison;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.7;50.0;51.9;50.5;56.3;53.9;55.0;59.6;51.0;55.3;55.7;50.4;47.6;53.2;45.7;56.4;55.8;56.1;55.2;54.1;54.0;52.2;45.9;;;
Cultures fourragères;;;;;;;;;;;;171.3;167.7;171.0;217.3;211.2;205.9;220.2;199.5;202.6;223.0;205.1;258.1;237.7;231.7;205.5;165.4;194.3;234.4;250.6;437.6;427.2;433.0;428.2;435.5;426.8;473.4;518.8;519.0;570.1;476.8;;;
