;80/81;81/82;82/83;83/84;84/85;85/86;86/87;87/88;88/89;89/90;90/91;91/92;92/93;93/94;94/95;95/96;96/97;97/98;98/99;99/2000;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024;2024/2025
Céréales;4.8;11.5;7.6;8.4;11.1;15.1;8.5;15.0;;;;5.9;5.6;15.9;4.4;16.9;8.3;11.2;7.4;3.7;8.9;10.7;14.3;15.1;7.8;16.5;5.2;10.0;19.2;15.5;16.0;10.2;18.3;14.5;21.4;9.4;17.6;22.5;14.6;7.4;23.4;9.4;14.8;11.9;16.6
    Blé dur;5.2;12.7;9.6;10.4;12.0;16.6;10.1;16.0;;;;6.3;5.6;17.5;5.3;18.2;9.1;13.7;7.4;4.0;10.6;11.7;16.2;18.2;8.9;19.6;6.1;13.4;21.0;18.1;19.3;11.8;20.1;15.6;24.1;10.44;20.22;24.4;16.41;7.97;25.81;9.75;14.18;11.96;
    Blé tendre;5.9;13.4;10.6;11.2;13.1;17.7;11.0;18.6;;;;7.7;8.0;18.6;5.7;18.6;9.4;14.5;8.4;5.2;13.2;13.3;17.8;18.0;11.0;20.8;6.2;13.1;21.6;16.6;19.6;12.6;22.3;17.8;24.8;11.8;21.3;26.0;15.9;9.6;27.0;11.8;35.8;14.6;
    Orge;4.7;11.4;5.7;6.6;10.7;14.4;6.7;13.8;;;;4.8;4.8;14.4;3.8;15.8;6.6;8.1;7.1;2.1;5.4;8.3;11.6;11.9;5.1;11.6;3.8;6.2;17.3;13.4;11.4;6.3;13.8;10.3;16.9;5.1;12.3;18.3;11.1;4.3;18.7;6.1;10.9;9.5;
Légumineuses;2.2;7.5;6.9;5.5;7.6;9.3;5.9;9.3;;;;3.4;2.4;8.0;2.8;8.8;5.9;6.4;3.9;2.5;5.2;6.2;6.5;6.6;4.2;8.9;3.8;5.3;7.3;7.1;7.9;7.1;7.3;8.4;6.4;3.4;7.9;8.5;7.2;5.5;11.5;4.5;5.5;;
Cultures Oléagineuses;5.7;9.5;11.0;10.0;9.0;9.9;12.7;15.4;;;;8.2;3.1;9.3;3.5;11.9;8.5;8.3;8.1;9.9;9.9;10.5;8.9;12.0;9.1;13.6;14.4;15.6;15.4;12.8;16.0;19.5;17.1;17.6;16.9;12.4;17.9;20.0;16.3;16.3;19.1;15.6;15.2;;
Cultures Sucrières;;;;;;;;;;;;238.8;278.4;277.0;238.8;237.4;206.1;242.1;278.3;272.7;223.0;217.3;185.1;186.3;214.5;208.0;203.9;227.8;258.2;211.6;195.6;144.1;177.5;574.2;615.4;661.7;627.9;690.1;614.9;637.5;582.7;11.4;13.1;;
Maraîchage;;;;;;;;;1763.7;2247.2;184.4;150.8;186.6;168.4;188.4;197.1;190.3;202.0;198.3;190.2;194.1;234.3;231.0;249.0;248.8;232.8;255.5;239.0;280.4;291.7;282.4;300.5;310.0;167.6;291.9;294.2;292.0;298.9;300.3;276.0;313.4;26.4;26.9;;
    Culture de primeurs;0.0;22.3;14.6;17.1;15.0;18.1;9.2;8.0;266.7;296.3;259.5;262.0;276.6;336.5;364.9;392.1;378.0;438.5;439.1;441.2;377.6;451.0;439.2;492.0;455.1;489.8;526.7;304.7;605.1;578.7;511.0;665.5;649.6;553.2;560.1;602.5;566.1;528.5;502.3;609.1;602.1;513.5;487.2;;
    Culture de saison;;;;;;;;;;;175.7;152.1;153.3;;165.5;180.0;172.6;179.9;172.4;161.4;173.4;207.9;208.1;221.3;222.3;234.9;237.9;229.4;235.8;253.2;254.0;265.1;271.5;258.8;254.5;253.5;253.1;257.9;260.7;231.3;272.4;489.2;469.2;;
Plantations fruitières;;;;;;;;;;;0.0;0.0;0.0;523.6;405.7;637.8;398.7;539.0;334.2;324.4;200.3;167.2;219.2;145.2;153.4;484.7;148.3;133.3;155.1;219.6;200.6;273.4;;;;;;;;;;614.9;570.6;;
