,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,2026/2027,2027/2028
    Arachides,,,,,,,,,,,,,,,,,,,,,5.8,4.9,8.1,6.5,6.9,8.9,11.7,14.2,12.6,5.9,10.5,19.4,21.2,14.1,45.1,33.8,11.2,7.6,20.3,25.8,17.6,24.3,19.1,23.9,25.4,26.7,18.5,18.7,16.9,14.7,20.4,23.1,19.7,24.7,26.5,24,0,0,0,0,0,,,,,,,
    Tournesol,,,,,,,,,,,,,,,,,,,,,5.6,11.1,13.6,14.2,12.1,12.1,16.8,19.3,,,,7.4,1.9,9,1.8,11.6,7.1,6.1,5.4,4.7,5.9,6.7,8.8,7.9,3.5,8.5,8.9,12.7,11.7,9.6,13.2,15.2,11.2,13.1,14.2,7.9,12.6,17.3,13.3,12.1,15.1,,,,,,,
Cultures Sucrières,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.8,278.4,277,238.8,237.4,206.1,242.1,278.3,272.7,223,217.3,185.1,186.3,214.5,208,203.9,227.8,258.2,211.6,195.6,144.1,177.5,574.2,615.4,661.7,627.9,690.1,614.9,637.5,582.7,11.4,13.1,,,,,
    Betterave à sucre,,,,,,,,,,,,,,,,,,,,,279.1,284.1,264.4,294.3,231.6,287.8,243.8,236.8,,,,444.2,465,494.3,400.2,484.9,415.4,566.8,504.1,523.3,524.2,500.3,511,527.3,463.7,507.3,490.9,508.8,482.2,476.7,587.1,523.2,575.8,605.9,636.3,705.5,647.4,687.1,645.6,630.5,569.5,,,,,,,
    Canne à sucre,,,,,,,,,,,,,,,,,,,,,109.2,89.5,110.8,146,127.9,143.5,139.7,178.5,,,,549,522.6,571.3,586,628.7,669.1,565.3,625.3,757.7,739.7,548.6,599.1,492.8,616,604,486.4,540,549.4,276.1,509.3,345.1,350,362.1,466,408.8,521.8,708.2,459.3,671.6,645.5,,,,,,,
Maraîchage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763.7,2247.2,184.4,150.8,186.6,168.4,188.4,197.1,190.3,202,198.3,190.2,194.1,234.3,231,249,248.8,232.8,255.5,239,280.4,291.7,282.4,300.5,310,167.6,291.9,294.2,292,298.9,300.3,276,313.4,26.4,26.9,,,,,
    Culture de primeurs,,,,,,,,,,,,,,,,,,,,,0,22.3,14.6,17.1,15,18.1,9.2,8,266.7,296.3,259.5,262,276.6,336.5,364.9,392.1,378,438.5,439.1,441.2,377.6,451,439.2,492,455.1,489.8,526.7,304.7,605.1,578.7,511,665.5,649.6,553.2,560.1,602.5,566.1,528.5,502.3,609.1,602.1,513.5,487.2,,,,,
        Tomates. primeurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,517.5,502.9,512.9,591.2,662.3,821.4,880,942.3,1058.8,1033.5,964.9,948.9,956,950.4,1118.6,1024.5,1158.1,1211.4,1314.9,1348.3,1286.4,1405.1,1310.9,1447.4,1289.3,1207.2,1284.1,1225.9,1330.8,1303.4,1336,1199.5,,,,,,,
        Pommes de terre. primeurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.6,159.6,150,132.8,100,158,133.3,130.5,127,142.1,185.7,181,147.4,185.7,197.5,206.7,183.1,218,222.9,220,212.2,261,286,224.5,482.5,222.5,278,245.1,243.6,282.4,302,230.7,331.2,,,,,,,
    Culture de saison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.7,152.1,153.3,,165.5,180,172.6,179.9,172.4,161.4,173.4,207.9,208.1,221.3,222.3,234.9,237.9,229.4,235.8,253.2,254,265.1,271.5,258.8,254.5,253.5,253.1,257.9,260.7,231.3,272.4,489.2,469.2,,,,,
        Tomates. saison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.4,145.1,264.2,274.7,307.1,284.6,308.9,597.8,329.4,342.8,264.1,355.8,312.1,345.1,446.6,360.7,376.2,305.6,345.5,413.8,373.4,364.5,459.6,,,,,,,
        Pommes de terre. saison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9,180,195.5,238.4,226.1,246,245.3,263.2,251.4,248.1,263.8,286.3,300.1,286.1,344.3,313.3,304.5,280.4,308.6,304.1,303.4,303.5,315.2,,,,,,,
