;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Secteur moderne;null;null;null;null;null;null;null;null;null;null;null;null;2000.0;1800.0;1800.0;1400.0;2000.0;2000.0;1500.0;1500.0;1500.0;1500.0;1500.0;1800.0;1600.0;2000.0;2500.0;2000.0;2300.0;2000.0;2300.0;2500.0;2800.0;2800.0;2800.0;null;800.0;;;;;
Secteur traditionnel;;;;;;;;;;;;;1000.0;900.0;900.0;800.0;1500.0;1500.0;1000.0;1000.0;1000.0;1000.0;1000.0;1100.0;800.0;1000.0;1000.0;1000.0;1200.0;1000.0;1200.0;1000.0;1000.0;1000.0;1000.0;;5020.0;;;;;
Total;6300.0;2700.0;2700.0;2800.0;2800.0;3100.0;3100.0;3100.0;3140.0;3160.0;2885.0;2885.0;3000.0;2700.0;2700.0;2200.0;3500.0;3500.0;2500.0;2500.0;2500.0;2500.0;2500.0;2900.0;2400.0;3000.0;3500.0;3000.0;3500.0;3000.0;3500.0;3500.0;3800.0;3800.0;3800.0;5300.0;5820.0;6000.0;7430.0;7960.0;8000.0;8500.0
