;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Bovins;3376.2;3247.87;2536.53;2430.91;2362.88;2501.01;2851.34;3177.54;3136.93;3324.24;3346.26;3438.17;3004.83;2348.26;2343.2;2370.8;2408.4;2547.2;2568.6;2565.5;2575.2;2566.0;2551.2;2617.7;2698.7;2664.4;2670.4;2592.8;2651.2;2789.6;2895.8;3037.9;3178.8;3345.4;3238.7
Ovins;16509.81;15675.5;10155.05;12610.67;11493.18;12861.76;14544.94;16135.63;12733.35;13761.37;13514.43;16268.42;13153.7;11868.07;13308.9;13388.6;14536.1;15286.7;14783.9;14587.9;14499.8;14757.0;15047.0;15658.0;16367.8;16121.7;16298.0;15566.1;16114.0;17093.0;18283.7;18737.4;19097.5;19499.9;20220.5
Caprins;6153.52;5462.26;4091.13;4910.96;4222.28;4662.15;5276.26;5806.87;5030.5;5281.31;5335.09;4980.43;4673.68;3867.42;3973.0;4014.4;4594.7;4789.9;4959.2;4704.4;4930.7;4820.0;5070.9;5135.9;5366.8;5275.2;5339.7;5135.8;5178.3;5283.7;5685.7;5991.4;6189.8;6243.6;6530.6
