;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Bovins;102.0;107.0;111.0;93.0;74.0;74.0;87.0;94.0;171.0;144.0;146.0;139.0;135.0;142.0;113.0;110.0;94.0;114.0;106.0;131.3;139.4;144.5;151.5;130.9;117.3;127.4;128.5;142.9;147.8;149.1;151.0;159.2;170.5;212.5;173.0;177.0;244.7;225.5;214.4;183.5;180.0;221.0
Ovins;66.0;72.0;47.0;50.0;42.0;39.0;2.0;32.0;38.0;68.0;61.0;57.0;53.0;48.0;44.0;49.0;69.0;51.0;59.0;53.2;45.3;43.9;35.4;31.2;35.7;41.8;42.0;40.8;42.1;36.0;36.5;39.1;38.1;38.2;28.0;25.0;35.9;41.3;40.1;40.7;41.0;50.0
Caprins;16.0;15.0;15.0;13.0;9.0;8.0;9.0;9.0;10.0;12.0;11.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;13.9;11.0;11.5;12.5;11.4;11.1;15.7;14.3;15.9;13.5;12.9;13.8;14.5;15.6;13.6;15.4;15.0;10.0;15.4;16.3;13.3;13.8;11.0;13.0
Autres produits de l'élevage;7.0;7.0;9.0;7.0;5.0;4.0;4.0;4.0;74.0;44.0;43.0;41.0;39.0;39.0;44.0;30.0;30.0;30.0;30.1;30.0;29.1;29.2;26.8;30.6;5.1;3.7;3.7;3.3;3.6;3.7;4.3;5.3;6.0;5.5;6.0;4.0;4.1;3.8;4.0;4.0;4.0;4.0
