Date,PIB_agrege,Realise
1999-04-01,NA,0.03220399565810972
1999-07-01,NA,0.021140424361385968
1999-10-01,NA,0.010307960086326062
2000-01-01,NA,-0.012708151722312877
2000-04-01,NA,-0.0039025181409098053
2000-07-01,NA,0.020500080896018957
2000-10-01,NA,0.0022133962214603287
2001-01-01,NA,0.038853701798446494
2001-04-01,NA,0.0028350852651701786
2001-07-01,NA,0.0019376226933029983
2001-10-01,NA,0.023548242470059932
2002-01-01,NA,-0.00237645086098226
2002-04-01,NA,0.0037898093086017326
2002-07-01,NA,0.013166440372943455
2002-10-01,NA,0.01357902712700465
2003-01-01,NA,0.008657522240834936
2003-04-01,NA,0.040529923324241324
2003-07-01,NA,-0.004287788226848832
2003-10-01,NA,0.0019014569496516032
2004-01-01,NA,0.01927393593005
2004-04-01,NA,0.023426606883601764
2004-07-01,NA,-0.0037837927084201084
2004-10-01,NA,0.014720787217369136
2005-01-01,NA,-0.0017949638135341672
2005-04-01,NA,0.013246432915268613
2005-07-01,NA,0.020683329055707134
2005-10-01,NA,0.00707312613361033
2006-01-01,NA,0.021211038271031768
2006-04-01,NA,0.022735741722556213
2006-07-01,NA,0.0028883750925547957
2006-10-01,NA,0.025745395844440466
2007-01-01,NA,-0.01586636514772266
2007-04-01,NA,0.0152415254443099
2007-07-01,NA,0.015912026044334837
2007-10-01,NA,0.01692963368124545
2008-01-01,NA,0.02895233621851645
2008-04-01,NA,0.0016535066033807055
2008-07-01,NA,0.01516816561220935
2008-10-01,NA,-0.00818306266473634
2009-01-01,NA,-8.800884204731574e-4
2009-04-01,NA,0.019118763691185592
2009-07-01,NA,0.01770203957436145
2009-10-01,NA,0.015128464373214356
2010-01-01,NA,-0.007224403337191987
2010-04-01,0.012514246687402747,0.016216917695782485
2010-07-01,0.01659719514924725,0.018558036846256343
2010-10-01,0.007808865251348783,0.009236105843946518
2011-01-01,0.07920400524704205,0.021029035329265255
2011-04-01,-0.07241882031520315,0.012313743021863388
2011-07-01,0.016273247351058184,0.008922156472058518
2011-10-01,0.011055607598032677,0.01166770276595841
2012-01-01,0.025360058784592365,-0.003666131856315147
2012-04-01,0.003698525717624413,0.006997750319827745
2012-07-01,-0.007260767757049379,0.008290486402364294
2012-10-01,0.002891476159654859,0.009742668343179162
2013-01-01,-0.0032922376617262336,0.0028239560278908726
2013-04-01,-0.024372840337731582,0.011020922979028569
2013-07-01,0.023746747485303386,0.009948659271961091
2013-10-01,0.008721563491267416,0.007772662048635581
2014-01-01,0.021087198005950453,-0.0038097360632640687
2014-04-01,0.017585617082450333,0.0166947227337797
2014-07-01,-0.019962953532367093,4.614236594875365e-4
2014-10-01,0.017106694238262016,-0.00862051821113674
2015-01-01,0.010369224757385933,0.01975042117043202
2015-04-01,0.008231377652523133,0.014370702177043171
2015-07-01,0.005290863730864154,0.006173772845256664
2015-10-01,0.023172024638745455,0.006720702926926947
2016-01-01,0.009023387884236038,-0.023062376331077772
2016-04-01,-0.003350084659055628,6.20008239375025e-4
2016-07-01,0.020612117015242553,0.0199949721890178
2016-10-01,0.010100543320585112,0.008683400428799004
2017-01-01,0.009431893962746575,0.01966477282656598
2017-04-01,0.020613988394142888,0.014605377246976303
2017-07-01,0.005338717073567497,4.931484523122975e-4
2017-10-01,0.012535786555301957,0.00571412324345566
2018-01-01,0.015996765604783195,0.011032349181531842
2018-04-01,0.014991412174196108,0.011351838673032688
2018-07-01,-0.001061464599298271,0.0032534530570700326
2018-10-01,0.0176542154901099,0.004778768811009471
2019-01-01,0.00473515095217197,0.006473525446997641
2019-04-01,-0.01664015420587565,0.0254103164594337
2019-07-01,0.01321583383026205,-0.008318305755661726
2019-10-01,0.0011634956397664,-0.004046630372810611
2020-01-01,0.024462996924034166,-0.024591513890682037
2020-04-01,-0.07287855106039035,-0.10458112771133443
2020-07-01,0.06178362353824663,0.06110338885974187
2020-10-01,-0.03028936953564706,0.015138847933021893
2021-01-01,0.08209298501286882,0.046238606747396105
2021-04-01,0.04479936660059041,0.0030184018806185264
2021-07-01,0.0054646494049638535,0.015165317801672629
2021-10-01,-0.02106804443101692,0.011269669785415104
2022-01-01,-0.018522178196350023,-0.01274048323597654
2022-04-01,0.04781745423092885,0.015086281468535745
2022-07-01,-1.9104112219405514e-4,0.007873782280041652
2022-10-01,0.06006150752699951,8.706536954683486e-5
2023-01-01,-0.03342651254311455,0.013274714445007163
2023-04-01,0.0149605238134045,0.004559387433388906
2023-07-01,-0.020410169074766667,0.011765619327888999
2023-10-01,-0.003953590037086488,0.016367941433383493
2024-01-01,0.025077625046807404,-5.2851068518933175e-5
2024-04-01,-0.01041718497399228,0.006200415731690612
2024-07-01,0.012948905297999257,0.026969883816139628
2024-10-01,-0.03319435606802881,0.009945916616233674
2025-01-01,0.04648488322820049,-8.136592560514799e-4
2025-04-01,-0.008639950998697224,0.013409100211891456
2025-07-01,0.013312737428695756,0.013363543373651865
2025-10-01,9.13551406665815e-4,0.012859487841616613
2026-01-01,0.03582387678625291,0.0019241842547970123
