q,r,AIC
0,0,-132.5093226003244
0,1,-130.89868633408395
0,2,-129.07073714994524
0,3,-127.50674625253382
0,4,-126.52602666858141
0,5,-125.32946236850316
0,6,-127.71788514742195
0,7,-125.7181323623771
0,8,-123.81074189311494
1,0,-134.1393117089499
1,1,-132.2057164744465
1,2,-130.31470461007493
1,3,-128.52776476230233
1,4,-127.49147499268315
1,5,-125.67289805392531
1,6,-127.28970568624317
1,7,-125.53248132569809
1,8,-123.69201305474269
2,0,-132.36853537961701
2,1,-130.5154717352959
2,2,-128.97096104515327
2,3,-127.15871410197735
2,4,-126.18636327550783
2,5,-124.39177313359525
2,6,-127.6179397694267
2,7,-125.79093049303691
2,8,-124.48478383993901
3,0,-131.34440802695286
3,1,-129.54001429163276
3,2,-127.84585702085516
3,3,-126.65274424553752
3,4,-125.5430308792896
3,5,-123.75739337332067
3,6,-127.61940434582283
3,7,-125.62341382120354
3,8,-124.35002965519524
4,0,-130.78220160783025
4,1,-128.78267089648222
4,2,-127.05303292559259
4,3,-125.64875042149018
4,4,-125.90333826985943
4,5,-124.00218493779823
4,6,-128.00407364073405
4,7,-126.19958927349768
4,8,-126.04170063306339
5,0,-130.75104547254088
5,1,-128.75128952947324
5,2,-126.75264929161415
5,3,-125.44995458269403
5,4,-126.42098371983633
5,5,-124.57910205678075
5,6,-129.71922331342142
5,7,-127.86407385790724
5,8,-126.67924983717302
6,0,-128.9214849871946
6,1,-126.92192895298825
6,2,-124.92230717391229
6,3,-124.0783033078597
6,4,-124.943313866207
6,5,-123.2649259859906
6,6,-133.93088769186684
6,7,-131.9364950746508
6,8,-130.91547444155586
7,0,-127.00967686109487
7,1,-125.01017393480453
7,2,-123.011557979245
7,3,-122.20329220582977
7,4,-124.04696364886667
7,5,-122.27894792270868
7,6,-132.1778170711434
7,7,-130.22697363140887
7,8,-129.01073524670377
8,0,-125.11704478444031
8,1,-123.13105933796962
8,2,-121.1354368767536
8,3,-120.4202721215405
8,4,-122.14298757151559
8,5,-120.49871133506252
8,6,-130.2023108569675
8,7,-128.25578510299013
8,8,-127.18639694766009
