Estimate,Std. Error,t value,Pr(>|t|),variable
-0.007953454623143045,0.016508001980690204,-0.4817938980408645,0.6336968756720385,(Intercept)
-0.3652287298569583,0.20336320009904474,-1.7959430697347387,0.08330294363270638,y_lag1
-0.26491183228391685,0.23444105989431083,-1.1299719955341554,0.2680753033435609,y_lag2
-0.25130486321113527,0.2961231007401308,-0.8486499789547768,0.40327331480437467,y_lag3
-1.5265260440709747,0.4455121667357808,-3.4264519760608674,0.0019076791466524374,y_lag4
-0.912212533115517,0.5251015917252699,-1.7372115177148066,0.09334017281733871,y_lag5
0.052921470767059636,0.5553679061883585,0.09529083365705111,0.9247625368146095,y_lag6
1.1427501590691815,0.5516081643602628,2.0716701327191305,0.04762269344456974,y_lag7
0.19565625445034823,0.09380730010289953,2.0857252499083554,0.046235385345542085,f_lag0
0.20102480550746363,0.09371460504413077,2.1450744567807742,0.04076511021269232,f_lag1
0.20677791148303198,0.09284771336014254,2.2270652017133807,0.0341600092657448,f_lag2
0.202985387131643,0.09291265179662504,2.1846904937763947,0.03744288704604713,f_lag3
