q,r,AIC
0,0,-172.62663819790941
0,1,-171.45825793694118
0,2,-170.2332721859716
0,3,-175.70662643593744
0,4,-181.01582225104394
0,5,-181.6847358211119
0,6,-180.03147699650467
0,7,-178.25771192902695
0,8,-180.11999879662667
1,0,-173.55443571754722
1,1,-173.42127430060853
1,2,-172.6244758023978
1,3,-175.20784302562998
1,4,-181.95891101838941
1,5,-180.90776204150526
1,6,-179.0097865768088
1,7,-177.4532826171072
1,8,-180.33436305609712
2,0,-171.86617422809553
2,1,-171.5528158306125
2,2,-170.62489976499003
2,3,-173.36641264779567
2,4,-179.96400953183203
2,5,-178.98977464938739
2,6,-177.03820642363397
2,7,-175.5671409852795
2,8,-178.34621098879882
3,0,-175.25618427833905
3,1,-175.27505365986661
3,2,-175.17521601626004
3,3,-174.78062387052924
3,4,-179.8976733776948
3,5,-179.43682949240443
3,6,-177.76914389755987
3,7,-178.0848491391083
3,8,-179.66957409674723
4,0,-176.5954445217766
4,1,-176.8509532085061
4,2,-176.44598912628706
4,3,-175.75947526815764
4,4,-177.92130328339917
4,5,-177.4537991891639
4,6,-175.77060659141694
4,7,-176.0891714175337
4,8,-178.67787155516487
5,0,-183.22312845068893
5,1,-181.58595150597063
5,2,-180.6189183988742
5,3,-180.4284401835953
5,4,-184.45020776187806
5,5,-182.69097297879787
5,6,-181.09028705159338
5,7,-182.53803525816429
5,8,-184.7107805068017
6,0,-181.60867187046782
6,1,-179.9962944088162
6,2,-178.73111594992014
6,3,-178.5650802218043
6,4,-182.89138536999934
6,5,-181.303088050986
6,6,-180.99809172657558
6,7,-182.42594532995975
6,8,-185.98218602910762
7,0,-180.91273220050186
7,1,-179.0788777611032
7,2,-177.94739858943947
7,3,-177.30155720760703
7,4,-181.46563031291936
7,5,-179.7502626983012
7,6,-179.15679024799368
7,7,-181.2067603019448
7,8,-185.15636571353926
8,0,-186.09088000482598
8,1,-184.7696068680957
8,2,-183.19560294176253
8,3,-183.2384574816218
8,4,-186.40720594152134
8,5,-184.7382667506889
8,6,-183.54803612520084
8,7,-184.1523855281908
8,8,-184.2227828363392
