Estimate,Std. Error,t value,Pr(>|t|),variable
0.03355105364594108,0.016516202345707078,2.031402434026351,0.05008977339116528,(Intercept)
-0.6437397868157984,0.25748918938318444,-2.5000652973349196,0.017403747195894853,y_lag1
-0.16239737981094968,0.2607564874298296,-0.6227932482586893,0.5375755896416379,y_lag2
-0.7248515548106309,0.31962080642604623,-2.267848463671112,0.02980828754700279,y_lag3
-1.0659318963898672,0.43573263506252835,-2.446298052100009,0.019759775540864295,y_lag4
-0.9987764567878601,0.5233719756150589,-1.9083491346935666,0.06481867154582688,y_lag5
0.32576319552306016,0.04558558220695341,7.146189206142677,2.9189126516955717e-8,f_lag0
0.1255550002250488,0.08771217710517042,1.4314432085581839,0.16143190020349646,f_lag1
0.19665695475531325,0.0874909096833164,2.24774157072016,0.031189829412812987,f_lag2
0.11983109485152922,0.0876373080872194,1.3673525290424207,0.18048687259101262,f_lag3
-0.12661492990162254,0.06326596894240172,-2.0013117955546473,0.05339166668250348,f_lag4
