Date,Commerce,Construction,"Électricité, gaz, eau",Finances et assurances,Hébergement-restauration,Immobilier,Industrie d'extraction,Industrie de transformation,Information-communication,Pêche,Transports,Agriculture,Services aux entreprises,Administration publique,Éducation-santé,Autres services
1999-04-01,NA,0.02596941881240674,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005639708286158293,0.05660615375946068,-0.2040973019437447,0.006246444063063367,NA
1999-07-01,NA,0.03019835401165402,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04898024660111275,0.029042633816330127,0.18524508203321968,0.011609898026087822,NA
1999-10-01,NA,0.009191171766507526,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0025575799228603306,0.011163206538391026,-0.04137365860279757,0.009473973477811613,NA
2000-01-01,NA,-0.006427887541743858,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08547511175181384,-0.002906519118128118,0.10227798673222996,0.008799280251298383,NA
2000-04-01,NA,-0.021920660902975724,NA,NA,NA,NA,0.019511371850400687,NA,NA,NA,NA,0.03920804099526684,-0.010911730789100293,-0.06856857375826911,0.003245575166574621,-0.04568978331448408
2000-07-01,NA,-0.013075290831200546,NA,NA,NA,NA,0.01611848291432883,NA,NA,NA,NA,0.006268196134810059,0.009529858796775861,-0.019942093642214984,-8.52390499923068e-4,-0.031519493630143496
2000-10-01,NA,-0.015360407204485333,NA,NA,NA,NA,0.02298613340892558,NA,NA,NA,NA,0.03621875532126755,0.009253013155081338,-7.57123718197607e-4,0.012724152523327746,-0.026279910152837312
2001-01-01,NA,-0.008797768499802173,NA,NA,NA,NA,-0.009110544085191935,NA,NA,NA,NA,0.05129650428731234,0.017712594803706825,0.028435111078625976,0.023240549164690615,0.02069280086518051
2001-04-01,NA,-0.013252347027235847,NA,NA,NA,NA,0.020253755849195195,NA,NA,NA,NA,0.0582679906998361,0.010980244418952723,0.030480349596104777,0.02582819953129499,0.016966256881117078
2001-07-01,NA,-0.020190997982228443,NA,NA,NA,NA,0.007539753686276263,NA,NA,NA,NA,-0.06368006602095175,0.016258566595181295,0.02228252960713145,0.016834188419389,0.013919808620879789
2001-10-01,NA,0.003159084893436047,NA,NA,NA,NA,0.003471566335715377,NA,NA,NA,NA,0.021501808084286964,0.008665672329051658,0.011441801564416612,0.012809065483135637,0.013729715628495337
2002-01-01,NA,-0.012534997024354668,NA,NA,NA,NA,6.94270096537844e-4,NA,NA,NA,NA,-0.07650298280641717,0.008730939597346159,0.00675892087399249,-0.00904712130581344,-0.0010898484995508426
2002-04-01,NA,0.01265414787779743,NA,NA,NA,NA,0.02398153564475738,NA,NA,NA,NA,0.002145016868493052,0.008916752349725535,0.002336162279013003,-0.010820362382419492,0.01130771547486501
2002-07-01,NA,0.031161747979746406,NA,NA,NA,NA,0.005484762877160473,NA,NA,NA,NA,-0.003371329112478877,0.009838274162364019,0.006325377758904951,-0.011370572764241787,0.011825139327326326
2002-10-01,NA,-0.004918883515758659,NA,NA,NA,NA,0.0035047703954912872,NA,NA,NA,NA,-0.016391822865827986,-3.631426540431672e-4,0.010295975035810926,0.004136032216636346,0.012910439258779187
2003-01-01,NA,0.014686033703888284,NA,NA,NA,NA,-0.019261527805801086,NA,NA,NA,NA,-0.0023218681510606774,0.006421997954920258,0.013128842294966333,0.022979823452349932,0.012059133158704771
2003-04-01,NA,0.009224256457894837,NA,NA,NA,NA,0.03830155613170387,NA,NA,NA,NA,0.009881864504395894,-0.0023088968675532145,0.011517401987163589,0.012448119950132584,0.005734659399784844
2003-07-01,NA,-7.490705333011698e-4,NA,NA,NA,NA,0.004256936729722048,NA,NA,NA,NA,-0.00557489225940142,3.296289113820586e-5,0.018330677785447873,0.01696307927057279,0.012074864165858831
2003-10-01,NA,-0.013851719568396911,NA,NA,NA,NA,0.012205967649002492,NA,NA,NA,NA,-0.042392573557912525,-0.0011282436452570294,0.010688323065529677,0.012645390723914376,0.016309769066948525
2004-01-01,NA,-0.024689407412778214,NA,NA,NA,NA,5.956578661757e-4,NA,NA,NA,NA,-0.020860597310157117,-3.578300878368801e-4,0.01201486158304452,-0.005132356404711973,0.03165705350255981
2004-04-01,NA,-0.02198676964656144,NA,NA,NA,NA,0.01776209877265777,NA,NA,NA,NA,-0.09275967341632066,-0.002025401700423729,0.011197049030804452,-0.0027724681835826267,0.03203832853847743
2004-07-01,NA,-0.01871977768973577,NA,NA,NA,NA,0.013980296164346616,NA,NA,NA,NA,0.06680302552087783,7.565636237674041e-4,0.01421489924002228,0.003422436566198688,0.018321316580862435
2004-10-01,NA,0.005315491373488971,NA,NA,NA,NA,0.03417296380992943,NA,NA,NA,NA,0.00926680725242616,0.006774424347916395,0.00869283063381391,0.005104711140340644,0.009237667236815236
2005-01-01,NA,-0.014525627753739894,NA,NA,NA,NA,-0.028187009896059795,NA,NA,NA,NA,0.004346402841921214,-0.0045334124730959866,0.014788620451483851,0.017427421137653887,-0.0257969829248397
2005-04-01,NA,-0.0032695074696841983,NA,NA,NA,NA,0.007391921084855625,NA,NA,NA,NA,-0.05501119356033832,0.004906161963673501,0.008891892345055564,0.016230440018667844,0.048311293984519416
2005-07-01,NA,0.011667084516723145,NA,NA,NA,NA,0.029751153355998823,NA,NA,NA,NA,0.07677585034644238,0.010386998204525547,0.012603372101545912,0.015009096911434146,0.03650629007486794
2005-10-01,NA,-0.014525864238574812,NA,NA,NA,NA,0.0038148512879837395,NA,NA,NA,NA,0.03063906799333719,0.005514500718366552,0.014794067143570356,0.011884441679619509,0.033613976730240365
2006-01-01,NA,-0.009383388758197202,NA,NA,NA,NA,-0.04131934728676453,NA,NA,NA,NA,0.06551468623547034,-0.00883110858055575,0.00852489419467941,-4.369890199656494e-4,1.640192259701606e-4
2006-04-01,NA,-0.0036809046330790436,NA,NA,NA,NA,0.03477319552600841,NA,NA,NA,NA,0.014149361024166852,0.008015836056605156,0.01060458764686618,0.002587112757644827,-0.07310506266314332
2006-07-01,NA,0.007836867315581404,NA,NA,NA,NA,9.92055306174567e-4,NA,NA,NA,NA,-0.04459186163753071,0.003836093986409283,0.007124853733313554,0.001206559447259916,-0.04873961779659838
2006-10-01,NA,-0.004542493799375455,NA,NA,NA,NA,0.006157278044058938,NA,NA,NA,NA,-0.015006366961990694,0.004303463540248043,0.011543212271398894,0.010834263171255664,-0.039794858903507445
2007-01-01,NA,-0.0015231078645824951,NA,NA,NA,NA,0.0018762865814037077,NA,NA,NA,NA,-0.05047878467221602,0.02004273822475028,0.008859472974302809,0.017384912468888975,0.042662597639527025
2007-04-01,NA,-0.010531295355980531,NA,NA,NA,NA,0.01686346069297027,NA,NA,NA,NA,-0.011713174762910979,-0.008317571391635725,0.0068113138116605845,0.014213918707728217,0.025850945724740122
2007-07-01,NA,-0.011880809468877944,NA,NA,NA,NA,0.006077883296180782,NA,0.032982234888620114,NA,NA,0.051761228595166776,0.0030065335835353594,0.016495111506160714,0.011045694317535359,0.0216609638990126
2007-10-01,NA,-0.017642200420529757,NA,NA,NA,NA,0.010707496179729641,NA,0.043438301561667655,NA,NA,-0.00911564973419074,-8.710500899401993e-4,0.011795460895616642,0.0031225682216472796,0.021447921540946838
2008-01-01,NA,-0.005485200780065603,NA,NA,NA,NA,-0.016572753041553735,NA,0.029641424136564957,NA,NA,0.14981119796364775,-0.01943722088900408,0.010395066159876816,-0.003439879674956647,0.0023159587802768257
2008-04-01,NA,0.005109892449103634,NA,NA,NA,NA,0.02623346039594897,NA,0.013350882604895958,NA,NA,0.010987717632055064,0.006567074787155146,0.024819841561620943,0.0074971477415477225,0.030870332968335794
2008-07-01,NA,9.101699713527731e-4,NA,NA,NA,NA,0.0033509126744396024,NA,0.03006993578056085,NA,NA,-0.0018700304409238315,0.010316866101136028,0.004857807771950455,0.011932923620821816,0.022347264496041293
2008-10-01,NA,-0.01090577426188876,NA,NA,NA,NA,0.006824923791700006,NA,0.04587655822181099,NA,NA,-0.014370289292604322,0.023964656973977514,0.01969727241026688,0.0073103899309090855,0.01805840605907538
2009-01-01,NA,-0.002628092302831562,NA,NA,NA,NA,-0.06684000357666048,NA,0.03170592149183536,NA,NA,-0.02787867989110943,0.019100579080315167,0.006080790110339945,-9.87292111402316e-4,-0.007104722942469874
2009-04-01,NA,0.005467068205764168,NA,NA,0.17941046221590104,NA,0.005369580615243313,NA,0.016780866762800786,NA,NA,-0.03468191692123973,0.0367862659934474,0.04485810055582695,0.004244627050742901,0.01879204730392286
2009-07-01,NA,-0.00406124797591997,NA,NA,-0.07736660890200955,NA,-1.0772948204411381e-4,NA,8.907769234044877e-5,NA,NA,-0.03156647537543823,0.008590288566596861,-0.004686653953545631,0.0027866024278658604,0.015457778195213122
2009-10-01,NA,0.004295593048425651,NA,NA,0.1789116751182728,NA,0.028793162553625424,NA,0.009647463902920378,NA,NA,-0.027861986104342484,0.027138856642401326,0.01784508996038793,0.006844730891092006,0.014232405506301449
2010-01-01,NA,-0.004952957343147031,NA,NA,-0.10662413007790589,NA,0.10595406231199062,NA,0.031735791589077994,NA,NA,-0.03258464459067021,-0.020489018918418825,-0.012294964912404543,0.012274032315775797,0.005033479491030113
2010-04-01,NA,0.010322848437792404,NA,0.018494935848453797,0.020367348483615655,NA,0.06703429357862825,NA,0.022507177155860158,NA,NA,-0.02030027169077983,0.013241215770123412,0.0025737973802024525,0.01286863690151183,-0.015092319572117395
2010-07-01,NA,0.016098888352629067,0.015020341874026889,0.014314758875869886,-0.008157055385977469,NA,-0.031576711866595004,NA,0.031059709572805464,0.029749110722124078,NA,-0.0014376617371645029,0.016603786116006006,0.013394292574531149,0.009924804058109436,-0.009219961323605261
2010-10-01,NA,-0.0017689256063340552,0.022891545183432907,0.011619797397161602,-0.1718080003119669,NA,0.02318940302318409,NA,-0.0013270239424917965,0.030793259238895504,NA,0.0026103007011342595,0.01019154842983052,0.01737998855727414,0.007346794125228877,-0.007423378139256465
2011-01-01,0.04626982052397775,0.018696453173128274,-0.018017232036427674,0.008962836018423157,0.08619827830345095,NA,0.023746852022992204,NA,0.011567355516134449,0.31848053763423284,NA,0.031378143007825286,0.030973142282209966,0.019754378227214868,0.003537706506677796,0.013162444302422862
2011-04-01,0.017398543197585218,0.0045103453088501805,-0.010863220184509505,0.021772380373413527,-0.01605693950251491,0.010561340652952292,-0.02323855769425085,NA,-0.003160991193863226,-0.40485968554428386,0.028997019488781833,-0.006259111659303522,0.013312212758012539,0.0237096751315806,0.001879980478366976,0.0076422176780397075
2011-07-01,-0.003907300087773718,0.013996180169327445,0.0052467116907246964,0.01642620250375647,-0.02925021024455346,0.016194401964770025,8.499480080207799e-4,NA,0.01029803713210434,0.0553981562114621,0.029942733924256518,-0.0011649044771592336,-0.0014596801421621515,0.011374922470434638,0.0016999227392397454,0.007220081369982529
2011-10-01,-0.0034281729346485614,0.019382107090810813,0.012791964146447423,0.00950521488860297,0.025477760126864958,0.008371006114238062,9.78160489182863e-4,NA,0.05228904248714367,0.019427416453366604,-0.11778033528452758,-3.760952788254227e-4,0.008631038571437868,0.01878552214232565,0.003974923607987832,0.0074590284368421435
2012-01-01,-0.009709984442427872,0.01620837477005409,-0.016543344749756883,0.0055463068370441414,-7.97687974145117e-4,0.0023142088565593437,-0.03314611275585955,-0.019235307685324218,0.12417013101021843,0.06714601750060023,-0.002485690543586383,0.004340967679751822,0.008697448794046107,0.006128804906826411,0.008486169249693684,0.004912433504339104
2012-04-01,0.004716150280546465,0.0063278373919454615,0.043364210418621145,0.009013334604230504,0.06524425317293983,0.00710935048577732,0.009541184105187742,-0.050434012999315686,0.03685110095659842,-0.011474661752991779,-0.026119388476401578,8.331224100103073e-4,-3.478578447823691e-4,0.0010464349413442748,0.014028693444928346,0.004338189780620578
2012-07-01,-0.0015578677921874082,-0.013021080984047058,0.0036267730195789424,0.01706446753786693,-0.005902417014459996,0.008874887002179633,0.0166321116235418,-0.018910894900813918,-0.016157035077887384,-0.04384773831262826,-0.008199972928962379,0.023280184653452277,0.01941093837803145,0.009800042554287732,0.020021551523170984,0.00455818167292639
2012-10-01,0.007462106967438039,-0.01477305794662033,0.024279229242482284,0.0023296406244960634,0.06275290113131338,0.005370889586434867,0.008060744425564443,0.029489890923260313,-0.038506518574332016,-0.02411193632922545,0.015695321750946567,0.021797548342062507,0.006470051203730832,0.017062920581967983,0.021878986552073224,0.004586565150496822
2013-01-01,-0.022606267208639955,-0.010272297456657255,0.0186038597280132,-0.005016440048660094,-0.05733783018363295,9.853072770258384e-5,-0.011559318996319012,-0.021926235587364763,0.005697142569829775,-0.019669228996179438,-0.04443082812212945,0.06458062168739223,0.02156971434338989,0.015066596320322909,0.0039229936329363245,0.005430745027300234
2013-04-01,-0.008605110002930365,0.0061453977864597865,0.010072026469318518,0.010390506310862815,0.03533346763989639,0.005608071164305124,0.03258372017151607,-0.01068698836402732,1.7964006142273843e-4,-0.16370104319020976,-0.00271188408075812,-0.007462251734596599,0.004026187199666704,0.008721755072591743,0.008081018170415327,0.011970864904396089
2013-07-01,0.00960380066823011,0.0015340925126050876,0.0030612151743910146,0.013398153661212272,-0.05923237195175041,0.009024447561331406,0.0050511630099686605,0.013398326573573604,0.005767398907981414,0.11983817552598937,0.005885802580209959,-0.00988718219838845,0.010218270690013076,0.009754569273329062,0.0024580073811322194,0.008183784055040985
2013-10-01,NA,0.008376244541499897,0.019180336631609597,0.002253586432170488,0.001999897665908114,0.00444506747327218,-8.091182740802448e-4,0.001306424850763247,0.006686809336185896,0.027160370020029453,0.013824850270937272,-0.01360627876104879,4.126777552752904e-4,7.014824418214768e-4,0.0028806079950896898,0.005879239223256515
