Estimate,Std. Error,t value,Pr(>|t|),variable
0.019762608671234676,0.007810768164230628,2.5301747863593542,0.016053978952628698,(Intercept)
-0.24399620526675506,0.1587208809926568,-1.537265945985037,0.13322045883022965,y_lag1
-0.33256527284188064,0.15067235538709522,-2.2072082963558968,0.03394971153963878,y_lag2
-0.34173794947112907,0.15747717035669734,-2.1700793117952752,0.03687315196207096,y_lag3
-0.01158588206661934,0.008209745066261267,-1.4112353030586335,0.16700318642017284,f_lag0
-0.009701477972087862,0.008495296983898674,-1.1419822038564738,0.26121413202086563,f_lag1
0.005992092507014972,0.005923323120500627,1.0116099333288664,0.31866727892692487,f_lag2
0.001906714473261109,0.006049357810308048,0.31519287386374895,0.7544868479193694,f_lag3
0.017102080512357617,0.008404137732397931,2.034959570739677,0.04948413333231491,f_lag4
0.01612973285460421,0.008941478979051438,1.8039222473590542,0.07985621572476405,f_lag5
