q,r,AIC
0,0,-113.54404809562516
0,1,-113.5609167299642
0,2,-112.73738257461439
0,3,-110.7423934397027
0,4,-109.58568328141449
0,5,-110.61870937025994
0,6,-108.62123816911058
0,7,-107.65930923434819
0,8,-105.79996860518601
1,0,-113.3492864562095
1,1,-114.27335140701784
1,2,-114.67517759520487
1,3,-112.7534135953571
1,4,-111.93829906595879
1,5,-112.26497234892813
1,6,-110.86224102826031
1,7,-110.36484507295182
1,8,-108.90674090642057
2,0,-111.57757301063826
2,1,-112.27541299522267
2,2,-112.75463408562517
2,3,-110.88158402231882
2,4,-109.99088676091516
2,5,-110.26561218588978
2,6,-108.86327602369249
2,7,-108.51678658164917
2,8,-106.95921089013396
3,0,-112.16047677130842
3,1,-112.27402205880662
3,2,-111.81198914738513
3,3,-110.09667104790788
3,4,-108.9763224898482
3,5,-109.92189214149545
3,6,-108.42449528058728
3,7,-107.67778152600124
3,8,-105.76253323392876
4,0,-111.65025022851977
4,1,-111.72583989193551
4,2,-111.30746805112489
4,3,-109.31432247271391
4,4,-107.67698990223596
4,5,-108.39325032614718
4,6,-107.309599030513
4,7,-106.32951193640653
4,8,-104.38068020342666
5,0,-110.44136392575554
5,1,-110.54531231275848
5,2,-110.40880003161445
5,3,-108.40890308343958
5,4,-106.40894730565515
5,5,-106.6250981124777
5,6,-105.41483117952359
5,7,-104.65525542861118
5,8,-102.70525829402334
6,0,-112.06593411781711
6,1,-111.01831419492362
6,2,-111.2780936630974
6,3,-109.37045675001434
6,4,-107.37194758105892
6,5,-105.66551552996276
6,6,-105.08940359966846
6,7,-103.65102136713611
6,8,-101.65203336441718
7,0,-110.61257304048297
7,1,-110.51645256537628
7,2,-109.96009362588518
7,3,-108.05272964757978
7,4,-106.09509465410983
7,5,-104.4014736598375
7,6,-103.16966740619375
7,7,-101.67673845153968
7,8,-99.67972076263135
8,0,-109.37307267382852
8,1,-109.91723296484525
8,2,-108.56415249181987
8,3,-106.62496390826595
8,4,-104.63359078701757
8,5,-103.08898017131042
8,6,-102.0018107638736
8,7,-100.30499969646561
8,8,-98.39895799891062
