;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Immeubles;3465.0;2812.0;3447.0;2694.0;2156.0;2290.0;3157.0;3166.0;4516.0;4629.0;3954.0;4365.0;4484.0;4860.0;5939.0;6191.0;4701.0;5611.0;5148.0;5439.0;6368.0;6695.0;7153.0;7125.0;6884.0;7487.0;7778.0;6 400;5 780;5 819;6 376;6 203;7 153;6 445;6673.0;6870.0;5897.0;7009.0;6984.0;3094.0
Villas;1705.0;1795.0;2123.0;2206.0;2364.0;2615.0;2939.0;2928.0;3436.0;3831.0;2712.0;2306.0;2082.0;1990.0;2086.0;2200.0;2704.0;2702.0;2395.0;2315.0;2238.0;2913.0;3388.0;3359.0;2917.0;2731.0;2455.0;2 017;1 893;1 934;2 033;2 509;2 372;2 176;2214.0;2121.0;2200.0;2245.0;2639.0;1722.0
Habitations type marocain;13329.0;17308.0;16317.0;17530.0;18836.0;21485.0;24387.0;22824.0;21433.0;21451.0;17614.0;19077.0;20722.0;22300.0;22612.0;28082.0;29468.0;29075.0;28747.0;27116.0;25800.0;27742.0;32048.0;34878.0;36419.0;36099.0;39700.0;39 833;38 655;45 447;40 483;41 407;40 575;36 478;35838.0;30088.0;33408.0;34368.0;32660.0;16695.0
Bâtiments commerciaux et industriels;718.0;728.0;640.0;671.0;580.0;501.0;657.0;878.0;1179.0;1483.0;1220.0;1206.0;1499.0;1640.0;1722.0;2062.0;2042.0;2002.0;2300.0;2630.0;2994.0;3373.0;4151.0;4186.0;3818.0;3247.0;3603.0;3 482;3 244;3 614;3 781;4 305;3 960;3 351;3573.0;3730.0;3924.0;3931.0;3776.0;2423.0
Bâtiments administratifs;58.0;75.0;77.0;80.0;91.0;72.0;85.0;103.0;108.0;87.0;103.0;93.0;119.0;129.0;91.0;185.0;157.0;200.0;136.0;169.0;161.0;154.0;183.0;192.0;224.0;208.0;267.0;113.0;134.0;209.0;204.0;237.0;248.0;210.0;234.0;274.0;385.0;363.0;479.0;286.0
Autres;338.0;296.0;241.0;197.0;343.0;364.0;371.0;372.0;348.0;399.0;332.0;315.0;401.0;460.0;563.0;440.0;554.0;582.0;516.0;450.0;385.0;408.0;455.0;445.0;308.0;280.0;262.0;210.0;180.0;273.0;209.0;208.0;194.0;322.0;471.0;673.0;322.0;409.0;457.0;158.0
Ensemble des catégories de construction;19613.0;23014.0;22845.0;23378.0;24370.0;27327.0;31596.0;30271.0;31020.0;31880.0;25935.0;27362.0;29307.0;31379.0;33013.0;39160.0;39626.0;40172.0;39242.0;38119.0;37946.0;41285.0;47378.0;50185.0;50570.0;50052.0;54065.0;52055.0;49886.0;57296.0;53086.0;54869.0;54502.0;48982.0;49003.0;45756.0;46136.0;46935.0;46995.0;24378.0
