;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Immeubles;;;;;;;;;;;;;;null;;;5114.0;5412.0;4548.0;5278.0;;6601.0;10898.0;7192.0;6905.0;7704.0;6901.0;6181.0;4103.0;4970.0;6272.0;6513.0;7212.0;8227.0;6071.0;9014.0;9745.0;9582.0;12722.0;11561.0
Villas;;;;;;;;;;;;;;;;;1263.0;1312.0;1227.0;1392.0;;1683.0;2656.0;1899.0;1713.0;1631.0;1774.0;1723.0;1261.0;1351.0;1498.0;1633.0;1651.0;1562.0;1618.0;1780.0;1868.0;1697.0;3348.0;2921.0
Habitations type marocain;;;;;;;;;;;;;;;;;5617.0;5838.0;6075.0;6486.0;;6412.0;7306.0;7285.0;8034.0;9836.0;9601.0;11034.0;9463.0;10805.0;10864.0;10633.0;12625.0;11002.0;11141.0;9965.0;11864.0;12338.0;12746.0;7226.0
Bâtiments commerciaux et industriels;;;;;;;;;;;;;;;;;1413.0;1471.0;1605.0;1885.0;;2807.0;2401.0;2363.0;2360.0;3058.0;1925.0;1867.0;3543.0;2385.0;2346.0;3493.0;2908.0;6033.0;3531.0;4747.0;5284.0;4724.0;5061.0;6194.0
Bâtiments administratifs;113.0;226.0;172.0;131.0;93.0;84.0;169.0;225.0;390.0;404.0;411.0;286.0;672.0;352.0;302.0;444.0;397.0;480.0;208.0;428.0;390.0;458.0;459.0;460.0;576.0;550.0;1133.0;402.0;332.0;704.0;1519.0;898.0;1861.0;1319.0;1247.0;2525.0;1933.0;2250.0;3940.0;3896.0
Autres;;;;;;;;;;;;;;;;;161.0;269.0;266.0;335.0;;411.0;688.0;206.0;137.0;209.0;905.0;98.0;193.0;322.0;260.0;472.0;219.0;346.0;400.0;462.0;860.0;337.0;1290.0;1592.0
Ensemble des catégories de construction;3283.0;4062.0;3905.0;4715.0;4510.0;5451.0;6854.0;8492.0;9217.0;10643.0;8822.0;8730.0;9055.0;9377.0;11110.0;14706.0;13965.0;14782.0;13929.0;15803.0;16288.0;18373.0;24832.0;19356.0;19725.0;22988.0;22239.0;21306.0;18895.0;20537.0;22758.0;23642.0;26476.0;28489.0;24008.0;28493.0;31554.0;33085.0;39106.0;33390.0
