;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Immeubles;;;;;;;;;;null;;;;null;;;31773.0;35585.0;29814.0;32375.0;;40102.0;49584.0;45035.0;43934.0;42525.0;43510.0;34619.0;26011.0;31499.0;37251.0;39004.0;39583.0;39678.0;38082.0;46823.0;45183.0;46475.0;55953.0;51535.0
Villas;;;;;;;;;;;;;;;;;3821.0;3933.0;3384.0;3283.0;;3759.0;4705.0;4566.0;3906.0;3974.0;4115.0;3970.0;2787.0;3314.0;3032.0;3506.0;3943.0;4075.0;3492.0;3160.0;3356.0;3061.0;5096.0;3681.0
Habitations type marocain;;;;;;;;;;;;;;;;;47087.0;47744.0;46745.0;46012.0;;45606.0;53621.0;55983.0;61280.0;61074.0;69782.0;70281.0;69585.0;78656.0;72898.0;74090.0;75728.0;67913.0;68318.0;60694.0;67964.0;70132.0;68973.0;43689.0
Ensemble des catégories de construction;null;null;null;null;null;null;null;null;null;51641.0;null;null;null;57281.0;null;null;82681.0;87262.0;79943.0;81670.0;null;89467.0;107910.0;105584.0;109120.0;107573.0;117407.0;108870.0;98383.0;113469.0;113181.0;116000.0;119254.0;111666.0;109892.0;110677.0;116503.0;115945.0;130022.0;98905.0
