;1994;1997;1998;1999;2000;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Immeubles;null;100927.0;111709.0;92199.0;102292.0;124712.0;154191.0;139869.0;137220.0;134479.0;144851.0;112438.0;81181.0;102065.0;120715.0;121023.0;120971.0;119413.0;113625.0;140911.0;137625.0;138236.0;159096.0;171210.0
Villas;;18339.0;18169.0;16279.0;15209.0;19386.0;22825.0;22438.0;20279.0;19848.0;18454.0;17160.0;12641.0;13754.0;13476.0;15986.0;16649.0;15838.0;14834.0;14128.0;14822.0;13511.0;21469.0;15637.0
Habitations type marocain;;146079.0;150061.0;146863.0;146582.0;149710.0;170163.0;178198.0;191722.0;193892.0;217803.0;227779.0;221278.0;260008.0;241032.0;234788.0;239411.0;204389.0;211872.0;184749.0;213576.0;228146.0;210334.0;130480.0
Ensemble des catégories de construction;187275.0;265345.0;279939.0;255341.0;264083.0;293808.0;347179.0;340505.0;349221.0;348219.0;381108.0;357377.0;315100.0;375827.0;375223.0;371797.0;377031.0;339640.0;340331.0;339788.0;366023.0;379893.0;390899.0;317327.0
