;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Immeubles;;;;;;;;;;;;;;;;;3870.0;4264.0;3599.0;4014.0;;4923.0;7922.0;5607.0;5198.0;5805.0;5325.0;4531.0;3054.0;3516.0;4295.0;4310.0;4741.0;4818.0;4046.0;5416.0;5021.0;5344.0;6068.0;4573.0
Villas;;;;;;;;;;;;;;;;;883.0;918.0;838.0;884.0;;1057.0;1631.0;1211.0;1097.0;1052.0;1008.0;1025.0;723.0;759.0;828.0;941.0;893.0;885.0;855.0;811.0;852.0;819.0;1222.0;1002.0
Habitations type marocain;;;;;;;;;;;;;;;;;5332.0;5484.0;5512.0;5702.0;;5742.0;6554.0;6569.0;7173.0;8666.0;8315.0;8519.0;8163.0;9107.0;10561.0;8411.0;9175.0;8015.0;7959.0;6985.0;8026.0;8526.0;8180.0;4887.0
Bâtiments commerciaux et industriels;;;;;;;;;;;;;;;;;886.0;854.0;1197.0;1264.0;;1782.0;1539.0;1599.0;1624.0;1454.0;1472.0;1329.0;1663.0;1737.0;1685.0;1883.0;1890.0;2485.0;1616.0;2189.0;2015.0;2231.0;2069.0;2199.0
Bâtiments administratifs;148.0;229.0;235.0;139.0;82.0;65.0;133.0;136.0;252.0;268.0;183.0;153.0;282.0;197.0;188.0;225.0;216.0;231.0;134.0;233.0;224.0;193.0;433.0;289.0;337.0;340.0;497.0;240.0;177.0;305.0;449.0;394.0;606.0;420.0;561.0;897.0;715.0;862.0;1633.0;1457.0
Autres;;;;;;;;;;;;;;;;;108.0;147.0;191.0;250.0;;217.0;308.0;132.0;119.0;133.0;439.0;76.0;108.0;609.0;129.0;279.0;133.0;223.0;219.0;260.0;428.0;164.0;788.0;764.0
Ensemble des catégories de construction;5525.0;5663.0;6297.0;6466.0;5918.0;6551.0;7708.0;7181.0;8631.0;9638.0;7555.0;7500.0;7919.0;8068.0;9487.0;12221.0;11294.0;11898.0;11472.0;12347.0;12889.0;13913.0;18387.0;15407.0;15548.789;17450.0;17056.402;15720.0;13888.0;16033.0;17947.0;16218.0;17438.0;16846.0;15257.0;16558.0;17057.0;17266.0;19959.0;14882.0
