;2003T4;2004T1;2004T2;2004T3;2004T4;2005T1;2005T2;2005T3;2005T4;2006T1;2006T2;2006T3;2006T4;2007T1;2007T2;2007T3;2007T4;2008T1;2008T2;2008T3;2008T4;2009T1;2009T2;2009T3;2009T4;2010T1;2010T2;2010T3;2010T4;2011T1;2011T2;2011T3;2011T4;2012T1;2012T2;2012T3;2012T4;2013T1;2013T2;2013T3;2013T4;2014T1;2014T2;2014T3;2014T4;2015T1;2015T2;2015T3;2015T4;2016T1;2016T2;2016T3;2016T4;2017T1;2017T2;2017T3;2017T4;2018T1;2018T2;2018T3;2018T4;2019T1;2019T2;2019T3;2019T4;2020T1;2020T2;2020T3;2020T4;2021T1;2021T2;2021T3;2021T4;2022T1;2022T2;2022T3;2022T4;2023T1;2023T2;2023T3;2023T4;2024T1;2024T2;2024T3;2024T4;2025T1
Maroc télecom;5182.0;5315.0;5520.0;6047.0;6306.0;6709.0;7188.0;8041.0;8237.0;8576.0;8924.0;10496.0;10707.0;11372.0;11713.0;12838.0;13327.0;13697.0;14211.0;14629.0;14456.0;14630.0;14288.0;15239.0;15272.0;15579.0;15900.0;16740.0;16890.0;16655.0;16994.0;16969.0;17126.0;17194.0;17385.0;18022.0;17855.0;17871.0;18049.0;18311.0;18177.0;18327.0;18163.0;18380.0;18230.0;18165.0;18080.0;18582.0;18298.0;18286.0;18147.0;18596.0;18343.0;18342.0;18379.0;18867.0;18503.0;18733.0;18905.0;19638.0;19033.0;19269.0;19519.0;20254.0;20029.0;19947.0;19546.0;19685.0;19472.0;19305.0;19603.0;20004.0;19870.0;19836.0;19647.0;19886.0;19213.0;19117.0;19536.0;19930.0;19717.0;19266.0;19003.0;19789.0;19079.0;18727.0
Méditel;2150.0;2236.0;2332.0;2807.0;3031.0;3319.0;3544.0;3951.0;4156.0;4329.0;4320.0;4403.0;5298.0;5753.0;5925.0;6350.0;6702.0;6919.0;7201.0;7404.0;7925.0;8365.0;8634.0;9209.0;9434.0;10178.0;10396.0;10674.0;10789.0;11121.0;11353.0;11865.0;12035.0;11235.0;11435.0;11461.0;11523.0;11495.0;11384.0;11573.0;12381.0;12860.0;12919.0;13605.0;13592.0;13523.0;13198.0;14098.0;13739.0;13169.0;13178.0;14256.0;13615.0;14088.0;14300.0;15380.0;15277.0;14640.0;14603.0;15251.0;15457.0;15558.0;15575.0;16483.0;15894.0;15619.0;15574.0;16291.0;17072.0;16565.0;16289.0;17448.0;17091.0;16783.0;16906.0;18229.0;17580.0;17649.0;17799.0;18833.0;18149.0;18060.0;19339.0;20264.0;19889.0;19596.0
WANA Corporate;;;;;;;;;;;;;;;;;;;;261.0;435.0;521.0;612.0;629.0;604.0;1290.0;1584.0;3089.0;4303.0;5600.0;6628.0;7317.0;7393.0;7810.0;8602.0;8804.0;9638.0;10150.0;10559.0;11440.0;11866.0;12192.0;12213.0;12273.0;12293.0;11699.0;11732.0;11770.0;11043.0;10608.0;10115.0;10490.0;9556.0;9355.0;9372.0;10002.0;10136.0;10320.0;10519.0;11152.0;10248.0;9903.0;10119.0;10767.0;10743.0;10307.0;10396.0;12096.0;12878.0;13602.0;13349.0;14560.0;14373.0;14669.0;14999.0;16519.0;16105.0;16114.0;16781.0;18534.0;18006.0;17907.0;18591.0;20191.0;19318.0;19071.0
