,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960T1,1960T2,1960T3,1960T4,1961T1,1961T2,1961T3,1961T4,1962T1,1962T2,1962T3,1962T4,1963T1,1963T2,1963T3,1963T4,1964T1,1964T2,1964T3,1964T4,1965T1,1965T2,1965T3,1965T4,1966T1,1966T2,1966T3,1966T4,1967T1,1967T2,1967T3,1967T4,1968T1,1968T2,1968T3,1968T4,1969T1,1969T2,1969T3,1969T4,1970T1,1970T2,1970T3,1970T4,1971T1,1971T2,1971T3,1971T4,1972T1,1972T2,1972T3,1972T4,1973T1,1973T2,1973T3,1973T4,1974T1,1974T2,1974T3,1974T4,1975T1,1975T2,1975T3,1975T4,1976T1,1976T2,1976T3,1976T4,1977T1,1977T2,1977T3,1977T4,1978T1,1978T2,1978T3,1978T4,1979T1,1979T2,1979T3,1979T4,1980T1,1980T2,1980T3,1980T4,1981T1,1981T2,1981T3,1981T4,1982T1,1982T2,1982T3,1982T4,1983T1,1983T2,1983T3,1983T4,1984T1,1984T2,1984T3,1984T4,1985T1,1985T2,1985T3,1985T4,1986T1,1986T2,1986T3,1986T4,1987T1,1987T2,1987T3,1987T4,1988T1,1988T2,1988T3,1988T4,1989T1,1989T2,1989T3,1989T4,1990T1,1990T2,1990T3,1990T4,1991T1,1991T2,1991T3,1991T4,1992T1,1992T2,1992T3,1992T4,1993T1,1993T2,1993T3,1993T4,1994T1,1994T2,1994T3,1994T4,1995T1,1995T2,1995T3,1995T4,1996T1,1996T2,1996T3,1996T4,1997T1,1997T2,1997T3,1997T4,1998T1,1998T2,1998T3,1998T4,1999T1,1999T2,1999T3,1999T4,2000T1,2000T2,2000T3,2000T4,2001T1,2001T2,2001T3,2001T4,2002T1,2002T2,2002T3,2002T4,2003T1,2003T2,2003T3,2003T4,2004T1,2004T2,2004T3,2004T4,2005T1,2005T2,2005T3,2005T4,2006T1,2006T2,2006T3,2006T4,2007T1,2007T2,2007T3,2007T4,2008T1,2008T2,2008T3,2008T4,2009T1,2009T2,2009T3,2009T4,2010T1,2010T2,2010T3,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3,2025T4,2026T1,2026T2,2026T3,2026T4,2027T1,2027T2,2027T3,2027T4
Trafic voix sortant du Mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4301,4734,5815,6275,6491,6456,7735,8998,9330,8215,9762,10771,11324,11 386,11727,12 604,12 541,11 860,12 544,14 019,14 451,14 280,14 167,15 128,14036,13649,13679,14841,13015,12804,12804,14399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
