Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,parc global de la téléphonie mobile,
frequence,Annuelle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,1980 - 2021,
Date de dernière mise à jour ,2022-09-26 13:10:12.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Parc de téléphone,
Unité,Nombre,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
Opérateur des télécommunications,Ensemble des opérateurs,
