;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Téléphone mobile;900.0;1500.0;3194.0;6725.0;13788.0;29511.0;42942.0;74472.0;116645.0;369174.0;2922000.0;4771766.0;6198037.0;7364124.0;9336878.0;12357662.0;16004731.0;20029030.0;22815694.0;25311000.0;31982000.0;36554000.0;39016000.0;42424000.0;44114534.0;43079696.0;41514000.0;43916000.0;44738000.0;46667000.0;49421000.0;51334000.0
Post payé;;;;;;;;;;;;;283250.0;389 127;459000.0;576000.0;690000.0;800000.0;922000.0;1011000.0;1229000.0;1557000.0;1863000.0;2132000.0;2324000.0;2667000.0;2982000.0;3292000.0;3906000.0;4708000.0;5476000.0;
Prépayé;;;;;;;;;;;;;5914787.0;6 943 000;8877878.0;11781662.0;15315000.0;19229000.0;21894000.0;24300000.0;30753000.0;34997000.0;37153000.0;40292000.0;41791000.0;40413000.0;38532000.0;40624000.0;40832000.0;41959000.0;43945000.0;
