;2010;2011;2012;2013;2014;2015;2016
Internet;80.0;53.0;42.0;36.0;23.0;24.0;25.0
Internet ADSL;139.0;116.0;111.0;98.0;93.0;94.0;97.0
Internet 3G;55.0;37.0;27.0;21.0;18.0;17.0;19.0
