;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Mondats émis;9132.0;11908.0;13430.0;13800.0;15638.0;10292.0;10533.0;12505.0;14032.0;17628.0;13814.0;16696.0;18188.0;17105.0;16915.0;16264.0;16162.0;21442.0;20788.0;24714.0;20897.0;22143.0;24795.0;36258.0;36633.0;36358.0;41423.0;44086.0;53368.0;49030.0;9883.0;9883.0;16681.0;15816.0;12833.0;11698.0;10053.0
Mondats payés;11976.0;14692.0;16107.0;14852.0;18190.0;14747.0;17850.0;17488.0;17006.0;20430.0;17208.0;20547.0;22593.0;20992.0;20493.0;20224.0;20032.0;25302.0;24777.0;28346.0;24168.0;26812.0;28594.0;38470.0;41762.0;42280.0;44733.0;49562.0;58376.0;53225.0;19089.0;19089.0;19899.0;19019.0;16361.0;15167.0;13505.0
