Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Bande passante Internet Internationale,
frequence,Annuelle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2000 - 2016,
Date de dernière mise à jour ,2017-03-30 15:56:08.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Bande Passante Internet,
Unité,Mb/s,Mégabits par seconde
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
