;2010T2;2010T3;2010T4;2011T1;2011T2;2011T3;2011T4;2012T1;2012T2;2012T3;2012T4;2013T1;2013T2;2013T3;2013T4;2014T1;2014T2;2014T3;2014T4;2015T1;2015T2;2015T3;2015T4;2016T1;2016T2;2016T3;2016T4;2017T1;2017T2;2017T3;2017T4
Téléphone mobile;38.0;39.0;41.0;50.0;58.0;60.0;57.0;64.0;67.0;72.0;75.0;72.0;80.0;80.0;83.0;88.0;89.0;92.0;92.0;91.0;94.0;98.0;101.0;112.0;112.0;115.0;113.0;110.0;109.0;111.0;108.0
Prépayé;21.0;24.0;25.0;33.0;38.0;41.0;38.0;42.0;45.0;50.0;53.0;50.0;58.0;60.0;60.0;68.0;68.0;71.0;71.0;66.0;68.0;71.0;72.0;76.0;75.0;78.0;77.0;75.0;74.0;76.0;74.0
Post payé;430.0;431.0;421.0;492.0;546.0;540.0;486.0;553.0;565.0;553.0;541.0;558.0;520.0;463.0;488.0;457.0;475.0;478.0;485.0;534.0;555.0;573.0;591.0;635.0;634.0;621.0;611.0;561.0;549.0;551.0;534.0
