Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Facture moyenne mensuelle par client internet,
frequence,Annuelle,
Scenario ,Reel,
Source ,ANRT,ANRT: Agence Nationale de Réglementation des Télécommunications
Période disponible ,2000 - 2016,
Date de dernière mise à jour ,2017-03-30 15:57:18.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Facture moyenne mensuelle par client,
Unité,DHHT/mois/client,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
