;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Versements;230.0;259.0;312.0;354.0;404.0;436.0;486.0;602.0;714.0;756.0;724.0;948.0;1062.0;1108.0;1571.0;1867.0;2193.0;2570.0;2927.0;3028.0;3287.0;3625.0;4314.0;4919.0;5816.0;6583.0;7522.0;8810.0;8794.0;8368.0;8520.0;11287.0;9608.0;10041.0;20826.0;22740.0;26201.0
Remboursements;194.0;207.0;242.0;281.0;312.0;375.0;369.0;446.0;517.0;594.0;694.0;835.0;1002.0;1102.0;1159.0;1315.0;1575.0;1832.0;2194.0;2663.0;2888.0;3257.0;3578.0;4036.0;4664.0;5359.0;6394.0;7429.0;7748.0;7407.0;7519.0;10251.0;8547.0;8808.0;18411.0;21818.0;23168.0
