;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Internet;20000.0;53000.0;55000.0;60812.0;113170.0;262324.0;399720.0;526080.0;757453.0;1186923.0;1866963.0;3182116.0;3957068.0;5776173.0;9969023.0;14471106.0;17058000.0;22192000.0;22782000.0;25385000.0;29803000.0;32846000.0
Internet ADSL;;;;2712.0;62960.0;248011.0;390834.0;476414.0;482791.0;474561.0;497640.0;589678.0;681673.0;835884.0;982 829;1 131 694;1 229 000;1325000.0;1418000.0;1476000.0;1602000.0;1604000.0
Liaisons louées (LL);;;;2500.0;1700.0;1126.0;1023.0;946.0;1076.0;1206.0;1042.0;1040.0;1058.0;1082.0;1 173;1 153;1 121;1809.0;1783.0;;;
Internet 3G;;;;;;;;42729.0;268131.0;707135.0;1366472.0;2590534.0;3273563.0;4938501.0;8 984 400;13 337 087;15 817 000;20829000.0;21288000.0;23677000.0;27743000.0;28491000.0
Data Only;;;;;;;;;;;;1499257.0;1631399.0;1581118.0;1 330 169;841 366;594 000;;;;;
Data+Voix;;;;;;;;;;;;1091277.0;1642164.0;3357383.0;7 654 231;12 495 721;15 223 000;;;;;
