Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Recettes de l'activité postale,
frequence,Annuelle,
Scenario ,Reel,
Source ,Poste du Maroc,
Période disponible ,1980 - 2016,
Date de dernière mise à jour ,2019-01-16 11:02:14.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Recettes de l'activité postale,
Unité,Dirham,
Echelle ,Million,
Axes Fixes ,Valeurs prises ,
