;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Opérations de crédit;36645.0;43258.0;45992.0;48029.0;49558.0;52999.0;59522.0;54823.0;51373.0;55968.0;57953.0;63806.0;71742.0;70000.0;73487.0;73826.0;76051.0;87376.0;85787.0;85218.0;81454.0;89993.0;90803.0;87007.0;82826.0;98801.0;99636.0;95662.0;127727.0;133725.0;138865.0;185638.0;163378.0;193978.0;330254.0;375189.0;388685.0
Opértaions de débit;36156.0;43282.0;45630.0;47609.0;49108.0;51547.0;57939.0;55346.0;53839.0;56294.0;57624.0;63339.0;72024.0;70354.0;73777.0;73673.0;76084.0;87252.0;85499.0;84079.0;81121.0;89328.0;90082.0;86451.0;81883.0;95948.0;101414.0;95979.0;130089.0;132616.0;125866.0;179655.0;161949.0;192823.0;122036.0;183900.0;161220.0
