;2003T4;2004T1;2004T2;2004T3;2004T4;2005T1;2005T2;2005T3;2005T4;2006T1;2006T2;2006T3;2006T4;2007T1;2007T2;2007T3;2007T4;2008T1;2008T2;2008T3;2008T4;2009T1;2009T2;2009T3;2009T4;2010T1;2010T2;2010T3;2010T4;2011T1;2011T2;2011T3;2011T4;2012T1;2012T2;2012T3;2012T4;2013T1;2013T2;2013T3;2013T4;2014T1;2014T2;2014T3;2014T4;2015T1;2015T2;2015T3;2015T4;2016T1;2016T2;2016T3;2016T4;2017T1;2017T2;2017T3;2017T4;2018T1;2018T2;2018T3;2018T4;2019T1;2019T2;2019T3;2019T4;2020T1;2020T2;2020T3;2020T4;2021T1;2021T2;2021T3;2021T4;2022T1;2022T2;2022T3;2022T4;2023T1;2023T2;2023T3;2023T4;2024T1;2024T2;2024T3;2024T4;2025T1;2025T2;2025T3;2025T4;2026T1
Téléphone mobile;7333.0;7551.0;7853.0;8854.0;9337.0;10028.0;10732.0;11992.0;12393.0;12904.0;13244.0;14900.0;16005.0;17126.0;17638.0;19188.0;20029.0;20616.0;21412.0;22294.0;22816.0;23516.0;23534.0;25077.0;25311.0;27046.0;27879.0;30503.0;31982.0;33375.0;34975.0;36150.0;36554.0;36239.0;37422.0;38287.0;39016.0;39516.0;39991.0;41324.0;42424.0;43380.0;43295.0;44258.0;44115.0;43387.0;43010.0;44449.0;43080.0;42064.0;41440.0;43341.0;41514.0;41785.0;42052.0;44250.0;43916.0;43693.0;44027.0;46041.0;44738.0;44730.0;45213.0;47503.0;46667.0;45874.0;45516.0;48072.0;49421.0;49473.0;49241.0;52012.0;51334.0;51287.0;51553.0;54635.0;52898.0;52879.0;54117.0;57296.0;55873.0;55233.0;56932.0;60245.0;58286.0;57389.0;58777.0;61139.0;59163.0;57059.0
Post payé;389.0;411.0;431.0;444.0;459.0;515.0;576.0;598.0;612.0;636.0;661.0;680.0;690.0;716.0;750.0;779.0;800.0;828.0;868.0;883.0;922.0;938.0;978.0;987.0;1011.0;1037.0;1078.0;1126.0;1229.0;1329.0;1425.0;1486.0;1557.0;1655.0;1739.0;1785.0;1863.0;1952.0;1979.0;2042.0;2132.0;2233.0;2291.0;2294.0;2324.0;2346.0;2420.0;2650.0;2667.0;2803.0;2882.0;2903.0;2982.0;3099.0;3196.0;3206.0;3292.0;3445.0;3559.0;3690.0;3906.0;4131.0;4291.0;4491.0;4708.0;5001.0;5261.0;5228.0;5476.0;5677.0;5764.0;5841.0;6036.0;6163.0;6272.0;6408.0;6634.0;6736.0;6838.0;6939.808;6971.0;7190.0;7322.0;7571.0;7660.0;7825.0;7985.0;8157.0;8260.0;8328.0
Prépayé;6944.0;7139.0;7420.0;8410.0;8878.0;9513.0;10157.0;11394.0;11781.0;12269.0;12583.0;14219.0;153115.0;16410.0;16888.0;18409.0;19299.0;19788.0;20544.0;21410.0;21894.0;22578.0;22556.0;24090.0;24300.0;26009.0;26801.0;29377.0;30753.0;32046.0;33550.0;34664.0;34997.0;34584.0;35683.0;36502.0;37153.0;37564.0;38012.0;39282.0;40292.0;41147.0;41004.0;41964.0;41791.0;41041.0;40590.0;41799.0;40413.0;39261.0;38558.0;40438.0;38532.0;38686.0;38856.0;41044.0;40624.0;40248.0;40468.0;42351.0;40832.0;40599.0;40919.0;43012.0;41959.0;40873.0;40256.0;42844.0;43945.0;43796.0;43477.0;46171.0;45298.0;45125.0;45281.0;48227.0;46264.0;46143.0;47279.0;50356.21;48902.0;48043.0;49611.0;52673.0;50626.0;49564.0;50792.0;52981.0;50904.0;48731.0
